order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,智能手表5代,1,196.56,CN
ORD-000002,2026/01/03,CUST-1002,无线充电器,3,80.51,CN
ORD-000003,2026/01/04,CUST-1003,无线耳机Pro,3,62.78,CN
ORD-000004,2026/01/05,CUST-1004,降噪耳机,2,64.37,CN
ORD-000005,2026/01/06,CUST-1005,跑鞋精英版,3,72.26,CN
ORD-000006,2026/01/07,CUST-1006,无线充电器,2,124.6,CN
ORD-000007,2026/01/08,CUST-1007,不锈钢保温杯,3,116.5,CN
ORD-000008,2026/01/09,CUST-1008,有机棉T恤,3,77.66,CN
ORD-000009,2026/01/10,CUST-1009,蓝牙音箱Mini,2,161.59,CN
ORD-000010,2026/01/11,CUST-1010,瑜伽垫高级,1,157.45,CN
ORD-000011,2026/01/12,CUST-1011,跑鞋精英版,2,71.05,CN
ORD-000012,2026/01/13,CUST-1012,跑鞋精英版,3,178.08,CN
ORD-000013,2026/01/14,CUST-1013,不锈钢保温杯,1,161.15,CN
ORD-000014,2026/01/15,CUST-1014,智能手表5代,1,86.24,CN
ORD-000015,2026/01/16,CUST-1015,蓝牙音箱Mini,2,78.31,CN
ORD-000016,2026/01/17,CUST-1016,无线充电器,2,102.79,CN
ORD-000017,2026/01/18,CUST-1017,跑鞋精英版,2,84.37,CN
ORD-000018,2026/01/19,CUST-1018,蓝牙音箱Mini,1,136.34,CN
ORD-000019,2026/01/20,CUST-1019,皮革钱包,2,187.79,CN
ORD-000020,2026/01/21,CUST-1020,智能手表5代,3,30.99,CN
ORD-000021,2026/01/22,CUST-1021,皮革钱包,3,195.06,CN
ORD-000022,2026/01/23,CUST-1022,不锈钢保温杯,3,80.0,CN
ORD-000023,2026/01/24,CUST-1023,跑鞋精英版,3,110.23,CN
ORD-000024,2026/01/25,CUST-1024,跑鞋精英版,2,111.45,CN
ORD-000025,2026/01/26,CUST-1025,不锈钢保温杯,3,155.04,CN
ORD-000026,2026/01/27,CUST-1026,跑鞋精英版,2,150.41,CN
ORD-000027,2026/01/28,CUST-1027,无线耳机Pro,1,170.64,CN
ORD-000028,2026/01/29,CUST-1028,皮革钱包,2,182.94,CN
ORD-000029,2026/01/30,CUST-1029,无线耳机Pro,1,136.74,CN
ORD-000030,2026/01/31,CUST-1030,皮革钱包,1,164.53,CN
ORD-000031,2026/02/01,CUST-1031,智能手表5代,3,104.58,CN
ORD-000032,2026/02/02,CUST-1032,瑜伽垫高级,1,103.13,CN
ORD-000033,2026/02/03,CUST-1033,瑜伽垫高级,3,180.99,CN
ORD-000034,2026/02/04,CUST-1034,无线充电器,2,181.19,CN
ORD-000035,2026/02/05,CUST-1035,蓝牙音箱Mini,1,32.76,CN
ORD-000036,2026/02/06,CUST-1036,无线耳机Pro,2,194.36,CN
ORD-000037,2026/02/07,CUST-1037,有机棉T恤,1,101.05,CN
ORD-000038,2026/02/08,CUST-1038,无线充电器,3,151.94,CN
ORD-000039,2026/02/09,CUST-1039,蓝牙音箱Mini,2,163.06,CN
ORD-000040,2026/02/10,CUST-1040,皮革钱包,2,141.33,CN
ORD-000041,2026/02/11,CUST-1041,瑜伽垫高级,1,166.6,CN
ORD-000042,2026/02/12,CUST-1042,不锈钢保温杯,2,146.08,CN
ORD-000043,2026/02/13,CUST-1043,有机棉T恤,2,119.98,CN
ORD-000044,2026/02/14,CUST-1044,智能手表5代,2,164.07,CN
ORD-000045,2026/02/15,CUST-1045,无线耳机Pro,1,189.8,CN
ORD-000046,2026/02/16,CUST-1046,智能手表5代,1,170.79,CN
ORD-000047,2026/02/17,CUST-1047,智能手表5代,1,185.96,CN
ORD-000048,2026/02/18,CUST-1048,不锈钢保温杯,1,88.71,CN
ORD-000049,2026/02/19,CUST-1049,不锈钢保温杯,2,110.79,CN
ORD-000050,2026/02/20,CUST-1050,皮革钱包,3,97.08,CN
ORD-000051,2026/02/21,CUST-1051,瑜伽垫高级,3,189.37,CN
ORD-000052,2026/02/22,CUST-1052,智能手表5代,3,64.19,CN
ORD-000053,2026/02/23,CUST-1053,不锈钢保温杯,1,120.95,CN
ORD-000054,2026/02/24,CUST-1054,不锈钢保温杯,2,168.65,CN
ORD-000055,2026/02/25,CUST-1055,跑鞋精英版,3,74.87,CN
ORD-000056,2026/02/26,CUST-1056,不锈钢保温杯,3,50.99,CN
ORD-000057,2026/02/27,CUST-1057,降噪耳机,1,149.34,CN
ORD-000058,2026/02/28,CUST-1058,无线耳机Pro,2,93.47,CN
ORD-000059,2026/03/01,CUST-1059,皮革钱包,1,50.82,CN
ORD-000060,2026/03/02,CUST-1060,皮革钱包,1,99.31,CN
ORD-000061,2026/03/03,CUST-1061,不锈钢保温杯,1,148.43,CN
ORD-000062,2026/03/04,CUST-1062,降噪耳机,1,46.18,CN
ORD-000063,2026/03/05,CUST-1063,瑜伽垫高级,2,182.39,CN
ORD-000064,2026/03/06,CUST-1064,有机棉T恤,2,71.91,CN
ORD-000065,2026/03/07,CUST-1065,皮革钱包,3,37.18,CN
ORD-000066,2026/03/08,CUST-1066,无线充电器,3,118.09,CN
ORD-000067,2026/03/09,CUST-1067,无线耳机Pro,2,138.41,CN
ORD-000068,2026/03/10,CUST-1068,降噪耳机,2,124.1,CN
ORD-000069,2026/03/11,CUST-1069,蓝牙音箱Mini,1,181.31,CN
ORD-000070,2026/03/12,CUST-1070,智能手表5代,1,144.17,CN
ORD-000071,2026/03/13,CUST-1071,智能手表5代,2,162.95,CN
ORD-000072,2026/03/14,CUST-1072,瑜伽垫高级,3,163.76,CN
ORD-000073,2026/03/15,CUST-1073,不锈钢保温杯,3,170.31,CN
ORD-000074,2026/03/16,CUST-1074,有机棉T恤,2,32.06,CN
ORD-000075,2026/03/17,CUST-1075,有机棉T恤,2,56.28,CN
ORD-000076,2026/03/18,CUST-1076,瑜伽垫高级,2,105.02,CN
ORD-000077,2026/03/19,CUST-1077,瑜伽垫高级,3,160.19,CN
ORD-000078,2026/03/20,CUST-1078,无线充电器,1,172.75,CN
ORD-000079,2026/03/21,CUST-1079,降噪耳机,3,51.82,CN
ORD-000080,2026/03/22,CUST-1080,蓝牙音箱Mini,1,167.51,CN
ORD-000081,2026/03/23,CUST-1081,瑜伽垫高级,3,114.92,CN
ORD-000082,2026/03/24,CUST-1082,无线充电器,2,77.79,CN
ORD-000083,2026/03/25,CUST-1083,不锈钢保温杯,3,31.42,CN
ORD-000084,2026/03/26,CUST-1084,有机棉T恤,2,48.32,CN
ORD-000085,2026/03/27,CUST-1085,瑜伽垫高级,3,93.58,CN
ORD-000086,2026/03/28,CUST-1086,皮革钱包,3,180.12,CN
ORD-000087,2026/03/29,CUST-1087,不锈钢保温杯,2,47.63,CN
ORD-000088,2026/03/30,CUST-1088,跑鞋精英版,2,162.9,CN
ORD-000089,2026/03/31,CUST-1089,皮革钱包,2,69.21,CN
ORD-000090,2026/04/01,CUST-1090,智能手表5代,1,96.77,CN
ORD-000091,2026/04/02,CUST-1091,无线耳机Pro,1,90.39,CN
ORD-000092,2026/04/03,CUST-1092,蓝牙音箱Mini,2,139.23,CN
ORD-000093,2026/04/04,CUST-1093,不锈钢保温杯,3,187.11,CN
ORD-000094,2026/04/05,CUST-1094,无线耳机Pro,1,33.92,CN
ORD-000095,2026/04/06,CUST-1095,不锈钢保温杯,3,190.63,CN
ORD-000096,2026/04/07,CUST-1096,无线耳机Pro,3,176.74,CN
ORD-000097,2026/04/08,CUST-1097,瑜伽垫高级,3,57.6,CN
ORD-000098,2026/04/09,CUST-1098,无线充电器,1,183.22,CN
ORD-000099,2026/04/10,CUST-1099,智能手表5代,1,97.79,CN
ORD-000100,2026/04/11,CUST-1100,无线耳机Pro,2,159.58,CN
ORD-000101,2026/04/12,CUST-1101,蓝牙音箱Mini,3,88.16,CN
ORD-000102,2026/04/13,CUST-1102,皮革钱包,2,181.35,CN
ORD-000103,2026/04/14,CUST-1103,有机棉T恤,2,118.54,CN
ORD-000104,2026/04/15,CUST-1104,跑鞋精英版,1,186.17,CN
ORD-000105,2026/04/16,CUST-1105,无线充电器,1,77.91,CN
ORD-000106,2026/04/17,CUST-1106,无线耳机Pro,2,110.56,CN
ORD-000107,2026/04/18,CUST-1107,跑鞋精英版,2,176.75,CN
ORD-000108,2026/04/19,CUST-1108,瑜伽垫高级,2,69.37,CN
ORD-000109,2026/04/20,CUST-1109,无线充电器,3,110.1,CN
ORD-000110,2026/04/21,CUST-1110,瑜伽垫高级,1,50.04,CN
ORD-000111,2026/04/22,CUST-1111,不锈钢保温杯,3,131.65,CN
ORD-000112,2026/04/23,CUST-1112,智能手表5代,3,108.05,CN
ORD-000113,2026/04/24,CUST-1113,瑜伽垫高级,2,43.47,CN
ORD-000114,2026/04/25,CUST-1114,皮革钱包,1,103.55,CN
ORD-000115,2026/04/26,CUST-1115,瑜伽垫高级,3,42.09,CN
ORD-000116,2026/04/27,CUST-1116,瑜伽垫高级,3,97.39,CN
ORD-000117,2026/04/28,CUST-1117,智能手表5代,3,80.96,CN
ORD-000118,2026/04/29,CUST-1118,皮革钱包,1,158.53,CN
ORD-000119,2026/04/30,CUST-1119,无线充电器,2,32.4,CN
ORD-000120,2026/05/01,CUST-1120,无线充电器,3,181.65,CN
ORD-000121,2026/05/02,CUST-1121,蓝牙音箱Mini,3,115.58,CN
