order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,External SSD 1TB,1,177.63,UK
ORD-000002,2026/01/03,CUST-1002,Mechanical Keyboard RGB,4,100.46,FR
ORD-000003,2026/01/04,CUST-1003,Organic Cotton T-Shirt,1,103.67,DE
ORD-000004,2026/01/05,CUST-1004,Organic Cotton T-Shirt,3,74.37,UK
ORD-000005,2026/01/06,CUST-1005,Standing Desk Converter,1,270.12,FR
ORD-000006,2026/01/07,CUST-1006,Mechanical Keyboard RGB,4,244.74,CN
ORD-000007,2026/01/08,CUST-1007,External SSD 1TB,3,174.37,US
ORD-000008,2026/01/09,CUST-1008,Mechanical Keyboard RGB,3,276.18,FR
ORD-000009,2026/01/10,CUST-1009,Running Shoes Elite,2,57.43,CA
ORD-000010,2026/01/11,CUST-1010,Yoga Mat Premium,4,188.36,AU
ORD-000011,2026/01/12,CUST-1011,External SSD 1TB,2,42.59,CN
ORD-000012,2026/01/13,CUST-1012,External SSD 1TB,4,297.84,JP
ORD-000013,2026/01/14,CUST-1013,Stainless Steel Water Bottle,3,211.34,BR
ORD-000014,2026/01/15,CUST-1014,Stainless Steel Water Bottle,4,141.52,FR
ORD-000015,2026/01/16,CUST-1015,Yoga Mat Premium,2,117.45,JP
ORD-000016,2026/01/17,CUST-1016,External SSD 1TB,1,273.89,AU
ORD-000017,2026/01/18,CUST-1017,Wireless Headphones Pro,5,32.65,US
ORD-000018,2026/01/19,CUST-1018,External SSD 1TB,4,253.79,DE
ORD-000019,2026/01/20,CUST-1019,Bluetooth Speaker Mini,3,102.43,DE
ORD-000020,2026/01/21,CUST-1020,4K Webcam Pro,1,46.14,JP
ORD-000021,2026/01/22,CUST-1021,Noise Cancelling Earbuds,1,234.2,AU
ORD-000022,2026/01/23,CUST-1022,Wireless Charger Pad,5,189.56,UK
ORD-000023,2026/01/24,CUST-1023,LED Desk Lamp,4,137.22,UK
ORD-000024,2026/01/25,CUST-1024,Wireless Headphones Pro,2,137.47,US
ORD-000025,2026/01/26,CUST-1025,Yoga Mat Premium,4,77.82,AU
ORD-000026,2026/01/27,CUST-1026,Wireless Charger Pad,5,213.17,FR
ORD-000027,2026/01/28,CUST-1027,Bluetooth Speaker Mini,1,212.8,IN
ORD-000028,2026/01/29,CUST-1028,External SSD 1TB,4,199.52,AU
ORD-000029,2026/01/30,CUST-1029,Wireless Charger Pad,3,278.61,UK
ORD-000030,2026/01/31,CUST-1030,Wireless Headphones Pro,5,78.95,IN
ORD-000031,2026/02/01,CUST-1031,Portable Power Bank,1,299.58,DE
ORD-000032,2026/02/02,CUST-1032,Yoga Mat Premium,3,128.31,AU
ORD-000033,2026/02/03,CUST-1033,Portable Power Bank,3,250.44,JP
ORD-000034,2026/02/04,CUST-1034,Running Shoes Elite,1,104.18,UK
ORD-000035,2026/02/05,CUST-1035,LED Desk Lamp,3,134.99,US
ORD-000036,2026/02/06,CUST-1036,Portable Power Bank,5,163.7,BR
ORD-000037,2026/02/07,CUST-1037,Yoga Mat Premium,1,264.83,IN
ORD-000038,2026/02/08,CUST-1038,4K Webcam Pro,1,109.14,JP
ORD-000039,2026/02/09,CUST-1039,Wireless Headphones Pro,3,263.05,JP
ORD-000040,2026/02/10,CUST-1040,Yoga Mat Premium,3,191.84,US
ORD-000041,2026/02/11,CUST-1041,Air Purifier Small,5,93.85,BR
ORD-000042,2026/02/12,CUST-1042,Mechanical Keyboard RGB,2,155.75,IN
ORD-000043,2026/02/13,CUST-1043,Wireless Headphones Pro,2,209.49,CN
ORD-000044,2026/02/14,CUST-1044,Noise Cancelling Earbuds,4,102.98,DE
ORD-000045,2026/02/15,CUST-1045,Ergonomic Office Chair,4,94.76,UK
ORD-000046,2026/02/16,CUST-1046,Mechanical Keyboard RGB,4,266.91,BR
ORD-000047,2026/02/17,CUST-1047,Leather Wallet Classic,5,249.05,CA
ORD-000048,2026/02/18,CUST-1048,Standing Desk Converter,5,220.08,BR
ORD-000049,2026/02/19,CUST-1049,Running Shoes Elite,4,77.26,CA
ORD-000050,2026/02/20,CUST-1050,Stainless Steel Water Bottle,5,213.12,CN
ORD-000051,2026/02/21,CUST-1051,Yoga Mat Premium,1,60.26,CN
ORD-000052,2026/02/22,CUST-1052,Monitor Arm Dual,3,92.82,CA
ORD-000053,2026/02/23,CUST-1053,Wireless Mouse Silent,5,215.36,CA
ORD-000054,2026/02/24,CUST-1054,4K Webcam Pro,5,198.27,IN
ORD-000055,2026/02/25,CUST-1055,Leather Wallet Classic,3,180.31,UK
ORD-000056,2026/02/26,CUST-1056,Leather Wallet Classic,1,158.33,CN
ORD-000057,2026/02/27,CUST-1057,Leather Wallet Classic,2,108.56,BR
ORD-000058,2026/02/28,CUST-1058,Standing Desk Converter,1,67.48,UK
ORD-000059,2026/03/01,CUST-1059,Leather Wallet Classic,4,54.2,AU
ORD-000060,2026/03/02,CUST-1060,Smart Watch Series 5,1,245.5,IN
ORD-000061,2026/03/03,CUST-1061,Smart Watch Series 5,5,47.8,IN
ORD-000062,2026/03/04,CUST-1062,Monitor Arm Dual,5,113.42,AU
ORD-000063,2026/03/05,CUST-1063,Noise Cancelling Earbuds,2,164.47,AU
ORD-000064,2026/03/06,CUST-1064,4K Webcam Pro,1,65.11,CN
ORD-000065,2026/03/07,CUST-1065,Wireless Headphones Pro,3,209.54,FR
ORD-000066,2026/03/08,CUST-1066,Portable Power Bank,3,252.08,UK
ORD-000067,2026/03/09,CUST-1067,External SSD 1TB,1,260.69,UK
