order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Mechanical Keyboard RGB,1,11.62,US
ORD-000002,2026/01/03,CUST-1002,Mechanical Keyboard RGB,2,27.11,US
ORD-000003,2026/01/04,CUST-1003,Bluetooth Speaker Mini,2,32.9,US
ORD-000004,2026/01/05,CUST-1004,External SSD 1TB,2,39.17,US
ORD-000005,2026/01/06,CUST-1005,Standing Desk Converter,1,39.64,US
ORD-000006,2026/01/07,CUST-1006,Wireless Mouse Silent,2,25.43,US
ORD-000007,2026/01/08,CUST-1007,Wireless Mouse Silent,1,39.58,US
ORD-000008,2026/01/09,CUST-1008,Bluetooth Speaker Mini,2,10.95,US
ORD-000009,2026/01/10,CUST-1009,Organic Cotton T-Shirt,2,13.1,US
ORD-000010,2026/01/11,CUST-1010,Wireless Headphones Pro,1,22.92,US
ORD-000011,2026/01/12,CUST-1011,Smart Watch Series 5,2,37.64,US
ORD-000012,2026/01/13,CUST-1012,Ergonomic Office Chair,1,39.06,US
ORD-000013,2026/01/14,CUST-1013,Wireless Charger Pad,2,20.29,US
ORD-000014,2026/01/15,CUST-1014,Yoga Mat Premium,1,32.9,US
ORD-000015,2026/01/16,CUST-1015,Wireless Charger Pad,2,15.67,US
ORD-000016,2026/01/17,CUST-1016,Wireless Mouse Silent,1,38.13,US
ORD-000017,2026/01/18,CUST-1017,4K Webcam Pro,1,35.83,US
ORD-000018,2026/01/19,CUST-1018,Smart Watch Series 5,1,32.24,US
ORD-000019,2026/01/20,CUST-1019,Smart Watch Series 5,1,37.66,US
ORD-000020,2026/01/21,CUST-1020,Noise Cancelling Earbuds,1,38.02,US
ORD-000021,2026/01/22,CUST-1021,Standing Desk Converter,2,10.96,US
ORD-000022,2026/01/23,CUST-1022,Air Purifier Small,1,16.92,US
ORD-000023,2026/01/24,CUST-1023,4K Webcam Pro,2,35.22,US
ORD-000024,2026/01/25,CUST-1024,Wireless Mouse Silent,2,10.37,US
ORD-000025,2026/01/26,CUST-1025,Leather Wallet Classic,2,30.63,US
ORD-000026,2026/01/27,CUST-1026,Monitor Arm Dual,1,37.48,US
ORD-000027,2026/01/28,CUST-1027,Wireless Mouse Silent,1,35.27,US
