order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Running Shoes Elite,3,68.56,US
ORD-000002,2026/01/03,CUST-1002,Running Shoes Elite,1,55.51,US
ORD-000003,2026/01/04,CUST-1003,Air Purifier Small,3,66.0,US
ORD-000004,2026/01/05,CUST-1004,Running Shoes Elite,3,75.07,US
ORD-000005,2026/01/06,CUST-1005,Running Shoes Elite,2,49.38,US
ORD-000006,2026/01/07,CUST-1006,Running Shoes Elite,3,71.27,US
ORD-000007,2026/01/08,CUST-1007,Running Shoes Elite,3,80.02,US
ORD-000008,2026/01/09,CUST-1008,Running Shoes Elite,1,49.16,US
ORD-000009,2026/01/10,CUST-1009,Running Shoes Elite,2,33.73,US
ORD-000010,2026/01/11,CUST-1010,Running Shoes Elite,3,61.55,US
ORD-000011,2026/01/12,CUST-1011,Running Shoes Elite,3,77.19,US
ORD-000012,2026/01/13,CUST-1012,Running Shoes Elite,2,72.42,US
ORD-000013,2026/01/14,CUST-1013,Running Shoes Elite,3,74.19,US
ORD-000014,2026/01/15,CUST-1014,Wireless Mouse Silent,3,20.07,US
ORD-000015,2026/01/16,CUST-1015,Running Shoes Elite,3,65.46,US
ORD-000016,2026/01/17,CUST-1016,Wireless Charger Pad,1,34.42,US
ORD-000017,2026/01/18,CUST-1017,Running Shoes Elite,3,65.29,US
ORD-000018,2026/01/19,CUST-1018,Running Shoes Elite,2,84.2,US
ORD-000019,2026/01/20,CUST-1019,Running Shoes Elite,3,77.27,US
ORD-000020,2026/01/21,CUST-1020,Running Shoes Elite,2,21.94,US
ORD-000021,2026/01/22,CUST-1021,Running Shoes Elite,1,37.11,US
ORD-000022,2026/01/23,CUST-1022,Running Shoes Elite,1,63.6,US
ORD-000023,2026/01/24,CUST-1023,Smart Watch Series 5,1,70.08,US
ORD-000024,2026/01/25,CUST-1024,Running Shoes Elite,2,48.76,US
ORD-000025,2026/01/26,CUST-1025,Running Shoes Elite,1,70.26,US
ORD-000026,2026/01/27,CUST-1026,Running Shoes Elite,1,43.58,US
ORD-000027,2026/01/28,CUST-1027,Running Shoes Elite,3,62.21,US
ORD-000028,2026/01/29,CUST-1028,Running Shoes Elite,3,88.52,US
ORD-000029,2026/01/30,CUST-1029,Noise Cancelling Earbuds,1,54.53,US
ORD-000030,2026/01/31,CUST-1030,Running Shoes Elite,3,77.4,US
ORD-000031,2026/02/01,CUST-1031,Running Shoes Elite,2,52.31,US
ORD-000032,2026/02/02,CUST-1032,Running Shoes Elite,1,35.36,US
ORD-000033,2026/02/03,CUST-1033,LED Desk Lamp,1,53.83,US
ORD-000034,2026/02/04,CUST-1034,Running Shoes Elite,2,42.23,US
ORD-000035,2026/02/05,CUST-1035,Running Shoes Elite,2,63.65,US
ORD-000036,2026/02/06,CUST-1036,Noise Cancelling Earbuds,3,24.5,US
ORD-000037,2026/02/07,CUST-1037,Running Shoes Elite,3,89.98,US
ORD-000038,2026/02/08,CUST-1038,Noise Cancelling Earbuds,3,84.16,US
ORD-000039,2026/02/09,CUST-1039,Running Shoes Elite,1,77.46,US
ORD-000040,2026/02/10,CUST-1040,Standing Desk Converter,2,49.2,US
ORD-000041,2026/02/11,CUST-1041,Running Shoes Elite,2,60.94,US
ORD-000042,2026/02/12,CUST-1042,Stainless Steel Water Bottle,3,83.84,US
ORD-000043,2026/02/13,CUST-1043,Running Shoes Elite,3,67.07,US
ORD-000044,2026/02/14,CUST-1044,Running Shoes Elite,1,85.14,US
ORD-000045,2026/02/15,CUST-1045,Running Shoes Elite,2,54.63,US
ORD-000046,2026/02/16,CUST-1046,Running Shoes Elite,2,52.6,US
ORD-000047,2026/02/17,CUST-1047,Running Shoes Elite,1,42.5,US
ORD-000048,2026/02/18,CUST-1048,Running Shoes Elite,3,85.14,US
ORD-000049,2026/02/19,CUST-1049,Running Shoes Elite,3,55.3,US
ORD-000050,2026/02/20,CUST-1050,Running Shoes Elite,3,73.24,US
ORD-000051,2026/02/21,CUST-1051,4K Webcam Pro,3,37.8,US
ORD-000052,2026/02/22,CUST-1052,Running Shoes Elite,2,89.87,US
ORD-000053,2026/02/23,CUST-1053,Running Shoes Elite,2,72.99,US
ORD-000054,2026/02/24,CUST-1054,Running Shoes Elite,2,75.59,US
ORD-000055,2026/02/25,CUST-1055,Ergonomic Office Chair,3,59.74,US
ORD-000056,2026/02/26,CUST-1056,Running Shoes Elite,1,46.94,US
ORD-000057,2026/02/27,CUST-1057,Running Shoes Elite,1,72.91,US
ORD-000058,2026/02/28,CUST-1058,Running Shoes Elite,2,70.86,US
ORD-000059,2026/03/01,CUST-1059,Noise Cancelling Earbuds,1,65.03,US
ORD-000060,2026/03/02,CUST-1060,Running Shoes Elite,2,21.97,US
ORD-000061,2026/03/03,CUST-1061,Running Shoes Elite,3,31.3,US
ORD-000062,2026/03/04,CUST-1062,Running Shoes Elite,3,47.66,US
ORD-000063,2026/03/05,CUST-1063,Running Shoes Elite,2,80.93,US
ORD-000064,2026/03/06,CUST-1064,Running Shoes Elite,3,32.89,US
ORD-000065,2026/03/07,CUST-1065,Running Shoes Elite,3,37.29,US
ORD-000066,2026/03/08,CUST-1066,Running Shoes Elite,3,61.38,US
ORD-000067,2026/03/09,CUST-1067,Stainless Steel Water Bottle,1,80.83,US
ORD-000068,2026/03/10,CUST-1068,Running Shoes Elite,3,65.89,US
ORD-000069,2026/03/11,CUST-1069,Portable Power Bank,1,71.37,US
ORD-000070,2026/03/12,CUST-1070,Running Shoes Elite,1,54.43,US
ORD-000071,2026/03/13,CUST-1071,Running Shoes Elite,1,58.08,US
ORD-000072,2026/03/14,CUST-1072,Running Shoes Elite,2,80.23,US
ORD-000073,2026/03/15,CUST-1073,Running Shoes Elite,1,52.53,US
ORD-000074,2026/03/16,CUST-1074,Running Shoes Elite,3,61.11,US
ORD-000075,2026/03/17,CUST-1075,Running Shoes Elite,1,64.29,US
ORD-000076,2026/03/18,CUST-1076,Running Shoes Elite,2,84.07,US
ORD-000077,2026/03/19,CUST-1077,Running Shoes Elite,2,26.14,US
ORD-000078,2026/03/20,CUST-1078,Running Shoes Elite,2,33.89,US
ORD-000079,2026/03/21,CUST-1079,Monitor Arm Dual,1,29.71,US
ORD-000080,2026/03/22,CUST-1080,Running Shoes Elite,1,40.37,US
ORD-000081,2026/03/23,CUST-1081,Leather Wallet Classic,2,26.21,US
ORD-000082,2026/03/24,CUST-1082,Running Shoes Elite,2,54.18,US
ORD-000083,2026/03/25,CUST-1083,Running Shoes Elite,2,67.3,US
ORD-000084,2026/03/26,CUST-1084,Ergonomic Office Chair,2,30.89,US
ORD-000085,2026/03/27,CUST-1085,Noise Cancelling Earbuds,1,82.23,US
ORD-000086,2026/03/28,CUST-1086,Running Shoes Elite,1,68.86,US
ORD-000087,2026/03/29,CUST-1087,Running Shoes Elite,1,28.46,US
ORD-000088,2026/03/30,CUST-1088,Stainless Steel Water Bottle,1,47.22,US
ORD-000089,2026/03/31,CUST-1089,LED Desk Lamp,3,77.55,US
ORD-000090,2026/04/01,CUST-1090,Running Shoes Elite,2,45.76,US
ORD-000091,2026/04/02,CUST-1091,Running Shoes Elite,3,38.56,US
ORD-000092,2026/04/03,CUST-1092,Organic Cotton T-Shirt,1,54.29,US
ORD-000093,2026/04/04,CUST-1093,Running Shoes Elite,1,63.14,US
ORD-000094,2026/04/05,CUST-1094,Running Shoes Elite,3,72.07,US
ORD-000095,2026/04/06,CUST-1095,Running Shoes Elite,3,82.27,US
ORD-000096,2026/04/07,CUST-1096,Wireless Mouse Silent,3,81.44,US
ORD-000097,2026/04/08,CUST-1097,Running Shoes Elite,1,25.27,US
ORD-000098,2026/04/09,CUST-1098,Running Shoes Elite,1,51.67,US
ORD-000099,2026/04/10,CUST-1099,Running Shoes Elite,3,22.3,US
ORD-000100,2026/04/11,CUST-1100,Running Shoes Elite,2,65.32,US
ORD-000101,2026/04/12,CUST-1101,Running Shoes Elite,2,47.29,US
ORD-000102,2026/04/13,CUST-1102,Running Shoes Elite,2,75.39,US
ORD-000103,2026/04/14,CUST-1103,Portable Power Bank,1,38.58,US
ORD-000104,2026/04/15,CUST-1104,Running Shoes Elite,2,55.27,US
ORD-000105,2026/04/16,CUST-1105,Running Shoes Elite,3,58.99,US
ORD-000106,2026/04/17,CUST-1106,Running Shoes Elite,3,75.06,US
ORD-000107,2026/04/18,CUST-1107,Running Shoes Elite,1,29.79,US
ORD-000108,2026/04/19,CUST-1108,Running Shoes Elite,3,38.79,US
ORD-000109,2026/04/20,CUST-1109,Running Shoes Elite,2,69.7,US
ORD-000110,2026/04/21,CUST-1110,Running Shoes Elite,2,76.9,US
ORD-000111,2026/04/22,CUST-1111,Running Shoes Elite,3,56.62,US
ORD-000112,2026/04/23,CUST-1112,Running Shoes Elite,1,77.0,US
ORD-000113,2026/04/24,CUST-1113,Running Shoes Elite,1,28.11,US
ORD-000114,2026/04/25,CUST-1114,Wireless Charger Pad,2,89.09,US
ORD-000115,2026/04/26,CUST-1115,Smart Watch Series 5,2,49.07,US
ORD-000116,2026/04/27,CUST-1116,Running Shoes Elite,1,83.45,US
ORD-000117,2026/04/28,CUST-1117,Running Shoes Elite,3,64.52,US
ORD-000118,2026/04/29,CUST-1118,Running Shoes Elite,3,40.64,US
ORD-000119,2026/04/30,CUST-1119,Running Shoes Elite,1,77.61,US
ORD-000120,2026/05/01,CUST-1120,Running Shoes Elite,1,86.44,US
ORD-000121,2026/05/02,CUST-1121,Running Shoes Elite,3,41.05,US
ORD-000122,2026/05/03,CUST-1122,Running Shoes Elite,2,25.39,US
ORD-000123,2026/05/04,CUST-1123,Wireless Headphones Pro,3,76.01,US
ORD-000124,2026/05/05,CUST-1124,Running Shoes Elite,1,40.64,US
ORD-000125,2026/05/06,CUST-1125,LED Desk Lamp,1,57.76,US
ORD-000126,2026/05/07,CUST-1126,Running Shoes Elite,3,83.77,US
ORD-000127,2026/05/08,CUST-1127,Running Shoes Elite,3,39.09,US
ORD-000128,2026/05/09,CUST-1128,Running Shoes Elite,1,37.06,US
ORD-000129,2026/05/10,CUST-1129,Running Shoes Elite,1,74.55,US
ORD-000130,2026/05/11,CUST-1130,Running Shoes Elite,1,55.78,US
ORD-000131,2026/05/12,CUST-1131,Stainless Steel Water Bottle,2,75.29,US
ORD-000132,2026/05/13,CUST-1132,Running Shoes Elite,2,39.92,US
ORD-000133,2026/05/14,CUST-1133,Running Shoes Elite,1,66.29,US
