order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Only Product Available,2,30.53,US
ORD-000002,2026/01/03,CUST-1002,Only Product Available,3,28.38,US
ORD-000003,2026/01/04,CUST-1003,Only Product Available,2,34.49,US
ORD-000004,2026/01/05,CUST-1004,Only Product Available,1,36.74,US
ORD-000005,2026/01/06,CUST-1005,Only Product Available,4,36.48,US
ORD-000006,2026/01/07,CUST-1006,Only Product Available,5,35.83,US
ORD-000007,2026/01/08,CUST-1007,Only Product Available,5,46.55,US
ORD-000008,2026/01/09,CUST-1008,Only Product Available,3,48.88,US
ORD-000009,2026/01/10,CUST-1009,Only Product Available,2,27.9,US
ORD-000010,2026/01/11,CUST-1010,Only Product Available,1,45.54,US
ORD-000011,2026/01/12,CUST-1011,Only Product Available,5,41.07,US
ORD-000012,2026/01/13,CUST-1012,Only Product Available,2,39.24,US
ORD-000013,2026/01/14,CUST-1013,Only Product Available,4,26.21,US
ORD-000014,2026/01/15,CUST-1014,Only Product Available,4,27.04,US
ORD-000015,2026/01/16,CUST-1015,Only Product Available,5,27.1,US
ORD-000016,2026/01/17,CUST-1016,Only Product Available,5,34.46,US
ORD-000017,2026/01/18,CUST-1017,Only Product Available,3,20.23,US
ORD-000018,2026/01/19,CUST-1018,Only Product Available,3,23.59,US
ORD-000019,2026/01/20,CUST-1019,Only Product Available,5,49.0,US
ORD-000020,2026/01/21,CUST-1020,Only Product Available,3,33.17,US
ORD-000021,2026/01/22,CUST-1021,Only Product Available,4,43.15,US
ORD-000022,2026/01/23,CUST-1022,Only Product Available,5,37.57,US
ORD-000023,2026/01/24,CUST-1023,Only Product Available,5,38.07,US
ORD-000024,2026/01/25,CUST-1024,Only Product Available,1,39.66,US
ORD-000025,2026/01/26,CUST-1025,Only Product Available,1,47.89,US
ORD-000026,2026/01/27,CUST-1026,Only Product Available,1,22.26,US
ORD-000027,2026/01/28,CUST-1027,Only Product Available,2,35.2,US
ORD-000028,2026/01/29,CUST-1028,Only Product Available,4,26.55,US
ORD-000029,2026/01/30,CUST-1029,Only Product Available,3,27.66,US
ORD-000030,2026/01/31,CUST-1030,Only Product Available,5,36.12,US
ORD-000031,2026/02/01,CUST-1031,Only Product Available,3,25.37,US
ORD-000032,2026/02/02,CUST-1032,Only Product Available,4,33.4,US
ORD-000033,2026/02/03,CUST-1033,Only Product Available,4,33.22,US
