order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Leather Wallet Classic,3,23.85,IN
ORD-000002,2026/01/03,CUST-1002,Mechanical Keyboard RGB,2,33.94,FR
ORD-000003,2026/01/04,CUST-1003,Monitor Arm Dual,3,26.13,UK
ORD-000004,2026/01/05,CUST-1004,4K Webcam Pro,3,97.36,BR
ORD-000005,2026/01/06,CUST-1005,Bluetooth Speaker Mini,3,88.75,BR
ORD-000006,2026/01/07,CUST-1006,Wireless Headphones Pro,3,44.12,JP
ORD-000007,2026/01/08,CUST-1007,Organic Cotton T-Shirt,1,71.72,US
ORD-000008,2026/01/09,CUST-1008,Stainless Steel Water Bottle,3,146.46,CA
ORD-000009,2026/01/10,CUST-1009,Yoga Mat Premium,2,112.92,BR
ORD-000010,2026/01/11,CUST-1010,Wireless Charger Pad,2,108.96,UK
ORD-000011,2026/01/12,CUST-1011,Portable Power Bank,1,44.78,DE
ORD-000012,2026/01/13,CUST-1012,Wireless Charger Pad,1,72.91,AU
ORD-000013,2026/01/14,CUST-1013,Ergonomic Office Chair,3,106.14,UK
ORD-000014,2026/01/15,CUST-1014,Mechanical Keyboard RGB,3,82.99,CA
ORD-000015,2026/01/16,CUST-1015,4K Webcam Pro,2,133.8,DE
ORD-000016,2026/01/17,CUST-1016,Wireless Mouse Silent,2,103.47,IN
ORD-000017,2026/01/18,CUST-1017,Wireless Charger Pad,1,80.35,US
ORD-000018,2026/01/19,CUST-1018,Standing Desk Converter,2,52.15,AU
ORD-000019,2026/01/20,CUST-1019,Yoga Mat Premium,3,84.26,CA
ORD-000020,2026/01/21,CUST-1020,Bluetooth Speaker Mini,1,128.18,FR
ORD-000021,2026/01/22,CUST-1021,Monitor Arm Dual,1,68.4,UK
ORD-000022,2026/01/23,CUST-1022,4K Webcam Pro,2,109.63,UK
ORD-000023,2026/01/24,CUST-1023,LED Desk Lamp,2,119.95,CN
ORD-000024,2026/01/25,CUST-1024,Bluetooth Speaker Mini,1,116.5,JP
ORD-000025,2026/01/26,CUST-1025,Wireless Mouse Silent,3,91.66,DE
ORD-000026,2026/01/27,CUST-1026,Organic Cotton T-Shirt,2,67.91,BR
ORD-000027,2026/01/28,CUST-1027,Wireless Charger Pad,2,128.66,BR
ORD-000028,2026/01/29,CUST-1028,Noise Cancelling Earbuds,2,66.4,BR
ORD-000029,2026/01/30,CUST-1029,Running Shoes Elite,2,74.98,JP
ORD-000030,2026/01/31,CUST-1030,Wireless Charger Pad,1,50.84,UK
ORD-000031,2026/02/01,CUST-1031,Stainless Steel Water Bottle,3,33.46,AU
ORD-000032,2026/02/02,CUST-1032,Wireless Charger Pad,2,62.53,CA
ORD-000033,2026/02/03,CUST-1033,Smart Watch Series 5,2,33.38,UK
ORD-000034,2026/02/04,CUST-1034,Wireless Charger Pad,1,57.44,UK
