ORD-000001,2026/01/02,CUST-1001,Wireless Mouse Silent,1,37.51,US
ORD-000002,2026/01/03,CUST-1002,Portable Power Bank,1,36.49,US
ORD-000003,2026/01/04,CUST-1003,Ergonomic Office Chair,2,32.14,US
ORD-000004,2026/01/05,CUST-1004,Ergonomic Office Chair,1,13.01,US
ORD-000005,2026/01/06,CUST-1005,Noise Cancelling Earbuds,1,24.61,US
ORD-000006,2026/01/07,CUST-1006,Running Shoes Elite,1,38.84,US
ORD-000007,2026/01/08,CUST-1007,Running Shoes Elite,1,34.67,US
ORD-000008,2026/01/09,CUST-1008,Mechanical Keyboard RGB,1,11.47,US
ORD-000009,2026/01/10,CUST-1009,Leather Wallet Classic,1,11.56,US
ORD-000010,2026/01/11,CUST-1010,Standing Desk Converter,1,14.63,US
ORD-000011,2026/01/12,CUST-1011,LED Desk Lamp,1,36.6,US
ORD-000012,2026/01/13,CUST-1012,4K Webcam Pro,2,20.39,US
ORD-000013,2026/01/14,CUST-1013,Stainless Steel Water Bottle,2,21.16,US
ORD-000014,2026/01/15,CUST-1014,Bluetooth Speaker Mini,1,38.48,US
ORD-000015,2026/01/16,CUST-1015,Smart Watch Series 5,1,16.45,US
ORD-000016,2026/01/17,CUST-1016,Ergonomic Office Chair,2,28.25,US
ORD-000017,2026/01/18,CUST-1017,Bluetooth Speaker Mini,1,20.04,US
ORD-000018,2026/01/19,CUST-1018,Stainless Steel Water Bottle,1,25.24,US
ORD-000019,2026/01/20,CUST-1019,Organic Cotton T-Shirt,2,10.76,US
ORD-000020,2026/01/21,CUST-1020,Running Shoes Elite,2,32.3,US
