order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,4K Webcam Pro,1,49.35,US
ORD-000002,2026/01/03,CUST-1002,Leather Wallet Classic,1,45.71,US
ORD-000003,2026/01/04,CUST-1003,Organic Cotton T-Shirt,2,36.39,US
ORD-000004,2026/01/05,CUST-1004,Noise Cancelling Earbuds,2,21.2,US
ORD-000005,2026/01/06,CUST-1005,Wireless Mouse Silent,2,36.69,US
ORD-000006,2026/01/07,CUST-1006,Organic Cotton T-Shirt,2,20.05,US
ORD-000007,2026/01/08,CUST-1007,Ergonomic Office Chair,2,53.96,US
ORD-000008,2026/01/09,CUST-1008,Running Shoes Elite,1,48.47,US
ORD-000009,2026/01/10,CUST-1009,Monitor Arm Dual,1,33.16,US
ORD-000010,2026/01/11,CUST-1010,Air Purifier Small,5,106.26,US
ORD-000011,2026/01/12,CUST-1011,Stainless Steel Water Bottle,7,158.63,US
ORD-000012,2026/01/13,CUST-1012,Organic Cotton T-Shirt,6,120.8,US
ORD-000013,2026/01/14,CUST-1013,Wireless Charger Pad,1,35.63,US
ORD-000014,2026/01/15,CUST-1014,Mechanical Keyboard RGB,2,22.48,US
ORD-000015,2026/01/16,CUST-1015,Ergonomic Office Chair,1,53.69,US
ORD-000016,2026/01/17,CUST-1016,Mechanical Keyboard RGB,1,32.24,US
ORD-000017,2026/01/18,CUST-1017,Noise Cancelling Earbuds,1,40.93,US
ORD-000018,2026/01/19,CUST-1018,Bluetooth Speaker Mini,2,43.0,US
ORD-000019,2026/01/20,CUST-1019,Mechanical Keyboard RGB,1,43.15,US
ORD-000020,2026/01/21,CUST-1020,Leather Wallet Classic,2,24.02,US
ORD-000021,2026/01/22,CUST-1021,4K Webcam Pro,2,20.17,US
ORD-000022,2026/01/23,CUST-1022,Noise Cancelling Earbuds,4,184.45,US
ORD-000023,2026/01/24,CUST-1023,Yoga Mat Premium,5,96.44,US
ORD-000024,2026/01/25,CUST-1024,Monitor Arm Dual,4,121.02,US
ORD-000025,2026/01/26,CUST-1025,Noise Cancelling Earbuds,2,51.03,US
ORD-000026,2026/01/27,CUST-1026,Standing Desk Converter,2,42.14,US
ORD-000027,2026/01/28,CUST-1027,Wireless Charger Pad,1,54.72,US
ORD-000028,2026/01/29,CUST-1028,Wireless Charger Pad,1,38.68,US
ORD-000029,2026/01/30,CUST-1029,Mechanical Keyboard RGB,1,54.01,US
ORD-000030,2026/01/31,CUST-1030,Bluetooth Speaker Mini,2,33.35,US
ORD-000031,2026/02/01,CUST-1031,Air Purifier Small,1,28.05,US
ORD-000032,2026/02/02,CUST-1032,Bluetooth Speaker Mini,2,42.45,US
ORD-000033,2026/02/03,CUST-1033,Portable Power Bank,2,59.45,US
ORD-000034,2026/02/04,CUST-1034,Wireless Charger Pad,4,197.47,US
ORD-000035,2026/02/05,CUST-1035,Leather Wallet Classic,7,100.2,US
ORD-000036,2026/02/06,CUST-1036,Mechanical Keyboard RGB,8,185.04,US
ORD-000037,2026/02/07,CUST-1037,Air Purifier Small,2,51.21,US
ORD-000038,2026/02/08,CUST-1038,Ergonomic Office Chair,1,58.78,US
ORD-000039,2026/02/09,CUST-1039,Leather Wallet Classic,1,39.47,US
ORD-000040,2026/02/10,CUST-1040,Bluetooth Speaker Mini,1,50.87,US
ORD-000041,2026/02/11,CUST-1041,Standing Desk Converter,1,47.09,US
ORD-000042,2026/02/12,CUST-1042,4K Webcam Pro,2,38.14,US
ORD-000043,2026/02/13,CUST-1043,Monitor Arm Dual,2,21.4,US
ORD-000044,2026/02/14,CUST-1044,Wireless Charger Pad,2,39.32,US
ORD-000045,2026/02/15,CUST-1045,Leather Wallet Classic,2,22.29,US
ORD-000046,2026/02/16,CUST-1046,Wireless Charger Pad,4,121.67,US
ORD-000047,2026/02/17,CUST-1047,Organic Cotton T-Shirt,5,83.83,US
ORD-000048,2026/02/18,CUST-1048,Leather Wallet Classic,5,70.42,US
ORD-000049,2026/02/19,CUST-1049,Mechanical Keyboard RGB,2,40.54,US
ORD-000050,2026/02/20,CUST-1050,Noise Cancelling Earbuds,1,32.94,US
ORD-000051,2026/02/21,CUST-1051,Wireless Mouse Silent,1,39.11,US
ORD-000052,2026/02/22,CUST-1052,Ergonomic Office Chair,1,53.41,US
ORD-000053,2026/02/23,CUST-1053,4K Webcam Pro,1,27.77,US
ORD-000054,2026/02/24,CUST-1054,Standing Desk Converter,2,25.11,US
ORD-000055,2026/02/25,CUST-1055,Standing Desk Converter,2,42.87,US
ORD-000056,2026/02/26,CUST-1056,Ergonomic Office Chair,1,41.33,US
ORD-000057,2026/02/27,CUST-1057,Organic Cotton T-Shirt,2,36.93,US
ORD-000058,2026/02/28,CUST-1058,Stainless Steel Water Bottle,5,50.84,US
ORD-000059,2026/03/01,CUST-1059,Organic Cotton T-Shirt,4,97.06,US
ORD-000060,2026/03/02,CUST-1060,Standing Desk Converter,3,187.76,US
ORD-000061,2026/03/03,CUST-1061,Standing Desk Converter,2,41.53,US
ORD-000062,2026/03/04,CUST-1062,Organic Cotton T-Shirt,2,37.68,US
ORD-000063,2026/03/05,CUST-1063,Air Purifier Small,1,47.43,US
ORD-000064,2026/03/06,CUST-1064,Noise Cancelling Earbuds,1,52.93,US
ORD-000065,2026/03/07,CUST-1065,Monitor Arm Dual,2,24.88,US
ORD-000066,2026/03/08,CUST-1066,Organic Cotton T-Shirt,1,33.31,US
ORD-000067,2026/03/09,CUST-1067,Wireless Headphones Pro,1,21.91,US
ORD-000068,2026/03/10,CUST-1068,Organic Cotton T-Shirt,2,58.07,US
ORD-000069,2026/03/11,CUST-1069,Ergonomic Office Chair,2,46.41,US
ORD-000070,2026/03/12,CUST-1070,4K Webcam Pro,6,154.78,US
ORD-000071,2026/03/13,CUST-1071,Leather Wallet Classic,3,121.7,US
ORD-000072,2026/03/14,CUST-1072,Yoga Mat Premium,7,132.19,US
ORD-000073,2026/03/15,CUST-1073,Wireless Mouse Silent,1,49.51,US
ORD-000074,2026/03/16,CUST-1074,LED Desk Lamp,1,24.3,US
ORD-000075,2026/03/17,CUST-1075,Air Purifier Small,2,34.01,US
ORD-000076,2026/03/18,CUST-1076,Organic Cotton T-Shirt,2,46.06,US
ORD-000077,2026/03/19,CUST-1077,4K Webcam Pro,1,48.45,US
ORD-000078,2026/03/20,CUST-1078,Standing Desk Converter,2,39.25,US
ORD-000079,2026/03/21,CUST-1079,Smart Watch Series 5,2,33.71,US
ORD-000080,2026/03/22,CUST-1080,External SSD 1TB,1,57.33,US
ORD-000081,2026/03/23,CUST-1081,Wireless Headphones Pro,1,39.8,US
ORD-000082,2026/03/24,CUST-1082,Organic Cotton T-Shirt,5,80.01,US
ORD-000083,2026/03/25,CUST-1083,LED Desk Lamp,3,110.73,US
ORD-000084,2026/03/26,CUST-1084,Smart Watch Series 5,5,140.45,US
ORD-000085,2026/03/27,CUST-1085,Monitor Arm Dual,2,54.9,US
ORD-000086,2026/03/28,CUST-1086,Yoga Mat Premium,2,24.21,US
ORD-000087,2026/03/29,CUST-1087,LED Desk Lamp,1,40.4,US
ORD-000088,2026/03/30,CUST-1088,Portable Power Bank,2,34.76,US
ORD-000089,2026/03/31,CUST-1089,Noise Cancelling Earbuds,2,22.03,US
ORD-000090,2026/04/01,CUST-1090,Yoga Mat Premium,2,33.05,US
ORD-000091,2026/04/02,CUST-1091,Smart Watch Series 5,2,25.56,US
ORD-000092,2026/04/03,CUST-1092,Organic Cotton T-Shirt,2,46.3,US
ORD-000093,2026/04/04,CUST-1093,Monitor Arm Dual,2,29.58,US
ORD-000094,2026/04/05,CUST-1094,External SSD 1TB,8,123.2,US
ORD-000095,2026/04/06,CUST-1095,Standing Desk Converter,4,120.44,US
ORD-000096,2026/04/07,CUST-1096,Leather Wallet Classic,4,165.14,US
ORD-000097,2026/04/08,CUST-1097,Standing Desk Converter,2,37.18,US
ORD-000098,2026/04/09,CUST-1098,Standing Desk Converter,1,30.08,US
ORD-000099,2026/04/10,CUST-1099,Mechanical Keyboard RGB,2,31.32,US
ORD-000100,2026/04/11,CUST-1100,Wireless Mouse Silent,2,59.35,US
ORD-000101,2026/04/12,CUST-1101,Wireless Mouse Silent,2,48.41,US
ORD-000102,2026/04/13,CUST-1102,Monitor Arm Dual,2,46.62,US
ORD-000103,2026/04/14,CUST-1103,Wireless Charger Pad,2,53.3,US
ORD-000104,2026/04/15,CUST-1104,Organic Cotton T-Shirt,1,49.79,US
ORD-000105,2026/04/16,CUST-1105,Stainless Steel Water Bottle,1,29.77,US
ORD-000106,2026/04/17,CUST-1106,Bluetooth Speaker Mini,8,180.21,US
ORD-000107,2026/04/18,CUST-1107,Organic Cotton T-Shirt,7,119.44,US
ORD-000108,2026/04/19,CUST-1108,Wireless Headphones Pro,5,77.74,US
ORD-000109,2026/04/20,CUST-1109,Running Shoes Elite,2,52.06,US
ORD-000110,2026/04/21,CUST-1110,Yoga Mat Premium,2,44.49,US
ORD-000111,2026/04/22,CUST-1111,LED Desk Lamp,2,49.06,US
ORD-000112,2026/04/23,CUST-1112,Yoga Mat Premium,1,26.91,US
ORD-000113,2026/04/24,CUST-1113,Monitor Arm Dual,2,37.41,US
ORD-000114,2026/04/25,CUST-1114,4K Webcam Pro,2,59.03,US
ORD-000115,2026/04/26,CUST-1115,LED Desk Lamp,2,43.15,US
ORD-000116,2026/04/27,CUST-1116,Running Shoes Elite,2,56.91,US
ORD-000117,2026/04/28,CUST-1117,Smart Watch Series 5,2,45.56,US
ORD-000118,2026/04/29,CUST-1118,Wireless Mouse Silent,6,132.8,US
ORD-000119,2026/04/30,CUST-1119,Running Shoes Elite,3,172.16,US
ORD-000120,2026/05/01,CUST-1120,External SSD 1TB,7,153.2,US
ORD-000121,2026/05/02,CUST-1121,4K Webcam Pro,2,48.27,US
ORD-000122,2026/05/03,CUST-1122,Ergonomic Office Chair,1,54.59,US
ORD-000123,2026/05/04,CUST-1123,Bluetooth Speaker Mini,1,21.96,US
ORD-000124,2026/05/05,CUST-1124,Wireless Headphones Pro,2,46.83,US
ORD-000125,2026/05/06,CUST-1125,Running Shoes Elite,2,33.03,US
ORD-000126,2026/05/07,CUST-1126,Wireless Headphones Pro,1,45.49,US
ORD-000127,2026/05/08,CUST-1127,External SSD 1TB,2,26.56,US
ORD-000128,2026/05/09,CUST-1128,Mechanical Keyboard RGB,2,29.08,US
ORD-000129,2026/05/10,CUST-1129,Organic Cotton T-Shirt,1,49.01,US
ORD-000130,2026/05/11,CUST-1130,Stainless Steel Water Bottle,3,183.43,US
ORD-000131,2026/05/12,CUST-1131,External SSD 1TB,4,120.21,US
ORD-000132,2026/05/13,CUST-1132,Running Shoes Elite,4,172.16,US
ORD-000133,2026/05/14,CUST-1133,Smart Watch Series 5,1,42.3,US
ORD-000134,2026/05/15,CUST-1134,Yoga Mat Premium,1,53.26,US
ORD-000135,2026/05/16,CUST-1135,Wireless Headphones Pro,1,29.55,US
ORD-000136,2026/05/17,CUST-1136,Organic Cotton T-Shirt,2,40.91,US
ORD-000137,2026/05/18,CUST-1137,4K Webcam Pro,2,38.57,US
ORD-000138,2026/05/19,CUST-1138,Wireless Mouse Silent,1,25.26,US
ORD-000139,2026/05/20,CUST-1139,Bluetooth Speaker Mini,2,37.04,US
ORD-000140,2026/05/21,CUST-1140,Smart Watch Series 5,2,40.07,US
ORD-000141,2026/05/22,CUST-1141,4K Webcam Pro,2,37.42,US
ORD-000142,2026/05/23,CUST-1142,Running Shoes Elite,3,167.49,US
ORD-000143,2026/05/24,CUST-1143,Standing Desk Converter,6,197.8,US
ORD-000144,2026/05/25,CUST-1144,Yoga Mat Premium,4,54.36,US
ORD-000145,2026/05/26,CUST-1145,Air Purifier Small,1,40.27,US
ORD-000146,2026/05/27,CUST-1146,Stainless Steel Water Bottle,2,33.37,US
