ORD-000001,2026/01/02,CUST-1001,LED Desk Lamp,1,75.24,US
ORD-000002,2026/01/03,CUST-1002,Mechanical Keyboard RGB,2,68.77,US
ORD-000003,2026/01/04,CUST-1003,LED Desk Lamp,1,53.0,US
ORD-000004,2026/01/05,CUST-1004,Ergonomic Office Chair,1,59.93,US
ORD-000005,2026/01/06,CUST-1005,Noise Cancelling Earbuds,1,0.0,US
ORD-000006,2026/01/07,CUST-1006,Air Purifier Small,2,99.22,US
ORD-000007,2026/01/08,CUST-1007,External SSD 1TB,1,55.9,US
ORD-000008,2026/01/09,CUST-1008,Mechanical Keyboard RGB,2,0.0,US
ORD-000009,2026/01/10,CUST-1009,Noise Cancelling Earbuds,2,0.0,US
ORD-000010,2026/01/11,CUST-1010,Bluetooth Speaker Mini,2,83.87,US
ORD-000011,2026/01/12,CUST-1011,Leather Wallet Classic,1,71.46,US
ORD-000012,2026/01/13,CUST-1012,Portable Power Bank,1,53.01,US
ORD-000013,2026/01/14,CUST-1013,Leather Wallet Classic,2,0.0,US
ORD-000014,2026/01/15,CUST-1014,Mechanical Keyboard RGB,1,0.0,US
ORD-000015,2026/01/16,CUST-1015,Smart Watch Series 5,2,0.0,US
ORD-000016,2026/01/17,CUST-1016,Bluetooth Speaker Mini,1,68.63,US
ORD-000017,2026/01/18,CUST-1017,Mechanical Keyboard RGB,2,81.14,US
ORD-000018,2026/01/19,CUST-1018,Noise Cancelling Earbuds,2,54.15,US
ORD-000019,2026/01/20,CUST-1019,4K Webcam Pro,1,0.0,US
ORD-000020,2026/01/21,CUST-1020,Yoga Mat Premium,1,0.0,US
ORD-000021,2026/01/22,CUST-1021,Standing Desk Converter,2,0.0,US
ORD-000022,2026/01/23,CUST-1022,Mechanical Keyboard RGB,1,0.0,US
ORD-000023,2026/01/24,CUST-1023,Leather Wallet Classic,1,97.6,US
ORD-000024,2026/01/25,CUST-1024,Air Purifier Small,1,0.0,US
ORD-000025,2026/01/26,CUST-1025,Mechanical Keyboard RGB,1,69.39,US
ORD-000026,2026/01/27,CUST-1026,Running Shoes Elite,2,90.26,US
ORD-000027,2026/01/28,CUST-1027,Standing Desk Converter,2,60.22,US
ORD-000028,2026/01/29,CUST-1028,Mechanical Keyboard RGB,2,0.0,US
ORD-000029,2026/01/30,CUST-1029,Organic Cotton T-Shirt,1,74.3,US
ORD-000030,2026/01/31,CUST-1030,Mechanical Keyboard RGB,1,60.67,US
ORD-000031,2026/02/01,CUST-1031,Stainless Steel Water Bottle,1,74.86,US
ORD-000032,2026/02/02,CUST-1032,Wireless Headphones Pro,1,40.97,US
ORD-000033,2026/02/03,CUST-1033,Yoga Mat Premium,2,37.64,US
ORD-000034,2026/02/04,CUST-1034,Wireless Mouse Silent,2,53.39,US
ORD-000035,2026/02/05,CUST-1035,Wireless Charger Pad,1,99.85,US
ORD-000036,2026/02/06,CUST-1036,Monitor Arm Dual,1,44.02,US
ORD-000037,2026/02/07,CUST-1037,Standing Desk Converter,1,0.0,US
ORD-000038,2026/02/08,CUST-1038,Stainless Steel Water Bottle,2,42.68,US
ORD-000039,2026/02/09,CUST-1039,LED Desk Lamp,1,45.19,US
ORD-000040,2026/02/10,CUST-1040,Stainless Steel Water Bottle,1,72.75,US
ORD-000041,2026/02/11,CUST-1041,Mechanical Keyboard RGB,1,0.0,US
ORD-000042,2026/02/12,CUST-1042,Portable Power Bank,1,43.09,US
ORD-000043,2026/02/13,CUST-1043,External SSD 1TB,2,55.5,US
ORD-000044,2026/02/14,CUST-1044,4K Webcam Pro,2,0.0,US
ORD-000045,2026/02/15,CUST-1045,Ergonomic Office Chair,1,43.85,US
ORD-000046,2026/02/16,CUST-1046,Mechanical Keyboard RGB,2,0.0,US
ORD-000047,2026/02/17,CUST-1047,Smart Watch Series 5,2,71.54,US
ORD-000048,2026/02/18,CUST-1048,Bluetooth Speaker Mini,1,0.0,US
ORD-000049,2026/02/19,CUST-1049,Leather Wallet Classic,2,0.0,US
ORD-000050,2026/02/20,CUST-1050,Yoga Mat Premium,2,94.25,US
ORD-000051,2026/02/21,CUST-1051,Noise Cancelling Earbuds,2,0.0,US
ORD-000052,2026/02/22,CUST-1052,Wireless Headphones Pro,1,42.75,US
ORD-000053,2026/02/23,CUST-1053,Portable Power Bank,2,76.59,US
ORD-000054,2026/02/24,CUST-1054,Bluetooth Speaker Mini,2,0.0,US
ORD-000055,2026/02/25,CUST-1055,Mechanical Keyboard RGB,1,43.04,US
ORD-000056,2026/02/26,CUST-1056,Running Shoes Elite,1,48.84,US
ORD-000057,2026/02/27,CUST-1057,Stainless Steel Water Bottle,2,81.42,US
ORD-000058,2026/02/28,CUST-1058,Wireless Headphones Pro,2,0.0,US
ORD-000059,2026/03/01,CUST-1059,Running Shoes Elite,2,68.77,US
ORD-000060,2026/03/02,CUST-1060,Portable Power Bank,2,0.0,US
ORD-000061,2026/03/03,CUST-1061,Wireless Mouse Silent,2,90.89,US
ORD-000062,2026/03/04,CUST-1062,Portable Power Bank,2,77.25,US
ORD-000063,2026/03/05,CUST-1063,Standing Desk Converter,2,0.0,US
ORD-000064,2026/03/06,CUST-1064,Air Purifier Small,2,46.49,US
ORD-000065,2026/03/07,CUST-1065,LED Desk Lamp,1,0.0,US
ORD-000066,2026/03/08,CUST-1066,Stainless Steel Water Bottle,2,83.31,US
ORD-000067,2026/03/09,CUST-1067,Monitor Arm Dual,1,0.0,US
ORD-000068,2026/03/10,CUST-1068,Leather Wallet Classic,1,32.39,US
ORD-000069,2026/03/11,CUST-1069,Organic Cotton T-Shirt,1,75.12,US
ORD-000070,2026/03/12,CUST-1070,Organic Cotton T-Shirt,1,55.16,US
ORD-000071,2026/03/13,CUST-1071,Standing Desk Converter,1,0.0,US
ORD-000072,2026/03/14,CUST-1072,External SSD 1TB,2,86.85,US
ORD-000073,2026/03/15,CUST-1073,Noise Cancelling Earbuds,1,54.35,US
ORD-000074,2026/03/16,CUST-1074,Portable Power Bank,2,78.02,US
ORD-000075,2026/03/17,CUST-1075,Ergonomic Office Chair,1,35.61,US
ORD-000076,2026/03/18,CUST-1076,Mechanical Keyboard RGB,2,70.19,US
ORD-000077,2026/03/19,CUST-1077,Ergonomic Office Chair,2,96.61,US
ORD-000078,2026/03/20,CUST-1078,Air Purifier Small,1,0.0,US
ORD-000079,2026/03/21,CUST-1079,Running Shoes Elite,2,71.7,US
ORD-000080,2026/03/22,CUST-1080,Ergonomic Office Chair,2,0.0,US
ORD-000081,2026/03/23,CUST-1081,External SSD 1TB,1,60.45,US
ORD-000082,2026/03/24,CUST-1082,External SSD 1TB,1,96.12,US
ORD-000083,2026/03/25,CUST-1083,Monitor Arm Dual,2,61.06,US
ORD-000084,2026/03/26,CUST-1084,Yoga Mat Premium,2,63.37,US
ORD-000085,2026/03/27,CUST-1085,Bluetooth Speaker Mini,2,51.12,US
