ORD-000001,2026/01/02,CUST-1001,Leather Wallet Classic,2,137.62,AU
ORD-000002,2026/01/03,CUST-1002,Organic Cotton T-Shirt,2,65.35,BR
ORD-000003,2026/01/04,CUST-1003,Smart Watch Series 5,3,64.43,UK
ORD-000004,2026/01/05,CUST-1004,Monitor Arm Dual,2,37.94,IN
ORD-000005,2026/01/06,CUST-1005,Wireless Charger Pad,2,40.76,CN
ORD-000006,2026/01/07,CUST-1006,Noise Cancelling Earbuds,1,63.64,FR
ORD-000007,2026/01/08,CUST-1007,Organic Cotton T-Shirt,1,103.27,FR
ORD-000008,2026/01/09,CUST-1008,Bluetooth Speaker Mini,1,145.53,US
ORD-000009,2026/01/10,CUST-1009,Monitor Arm Dual,1,61.07,IN
ORD-000010,2026/01/11,CUST-1010,Smart Watch Series 5,1,75.62,AU
ORD-000011,2026/01/12,CUST-1011,Stainless Steel Water Bottle,3,113.5,CA
ORD-000012,2026/01/13,CUST-1012,Air Purifier Small,1,62.42,CN
ORD-000013,2026/01/14,CUST-1013,4K Webcam Pro,1,65.53,US
ORD-000014,2026/01/15,CUST-1014,4K Webcam Pro,1,28.1,AU
ORD-000015,2026/01/16,CUST-1015,Wireless Charger Pad,3,118.14,IN
ORD-000016,2026/01/17,CUST-1016,4K Webcam Pro,2,40.28,US
ORD-000017,2026/01/18,CUST-1017,Wireless Mouse Silent,2,123.04,AU
ORD-000018,2026/01/19,CUST-1018,Running Shoes Elite,3,135.98,JP
ORD-000019,2026/01/20,CUST-1019,Portable Power Bank,3,21.4,JP
ORD-000020,2026/01/21,CUST-1020,LED Desk Lamp,3,38.62,DE
ORD-000021,2026/01/22,CUST-1021,Noise Cancelling Earbuds,1,136.7,UK
ORD-000022,2026/01/23,CUST-1022,Running Shoes Elite,3,20.55,DE
ORD-000023,2026/01/24,CUST-1023,Leather Wallet Classic,1,75.14,IN
ORD-000024,2026/01/25,CUST-1024,Running Shoes Elite,2,90.15,US
ORD-000025,2026/01/26,CUST-1025,Standing Desk Converter,2,71.53,AU
ORD-000026,2026/01/27,CUST-1026,Standing Desk Converter,1,60.81,US
ORD-000027,2026/01/28,CUST-1027,Portable Power Bank,2,134.07,AU
ORD-000028,2026/01/29,CUST-1028,Noise Cancelling Earbuds,1,124.46,FR
ORD-000029,2026/01/30,CUST-1029,Standing Desk Converter,1,69.46,DE
ORD-000030,2026/01/31,CUST-1030,Wireless Mouse Silent,2,89.15,FR
ORD-000031,2026/02/01,CUST-1031,Yoga Mat Premium,1,20.6,BR
ORD-000032,2026/02/02,CUST-1032,Mechanical Keyboard RGB,3,73.81,CA
ORD-000033,2026/02/03,CUST-1033,Mechanical Keyboard RGB,2,73.17,IN
ORD-000034,2026/02/04,CUST-1034,LED Desk Lamp,3,69.54,JP
ORD-000035,2026/02/05,CUST-1035,4K Webcam Pro,3,99.14,IN
ORD-000036,2026/02/06,CUST-1036,Portable Power Bank,1,130.43,BR
ORD-000037,2026/02/07,CUST-1037,Leather Wallet Classic,2,94.95,US
ORD-000038,2026/02/08,CUST-1038,Mechanical Keyboard RGB,1,74.23,UK
ORD-000039,2026/02/09,CUST-1039,Standing Desk Converter,2,102.15,FR
ORD-000040,2026/02/10,CUST-1040,External SSD 1TB,3,129.02,JP
ORD-000041,2026/02/11,CUST-1041,Ergonomic Office Chair,1,80.73,CA
ORD-000042,2026/02/12,CUST-1042,Ergonomic Office Chair,1,100.59,AU
ORD-000043,2026/02/13,CUST-1043,Leather Wallet Classic,3,91.17,US
ORD-000044,2026/02/14,CUST-1044,Portable Power Bank,3,98.07,US
ORD-000045,2026/02/15,CUST-1045,Wireless Charger Pad,3,79.32,AU
ORD-000046,2026/02/16,CUST-1046,4K Webcam Pro,1,141.3,BR
ORD-000047,2026/02/17,CUST-1047,Standing Desk Converter,1,32.49,CA
ORD-000048,2026/02/18,CUST-1048,Bluetooth Speaker Mini,3,76.23,JP
ORD-000049,2026/02/19,CUST-1049,Bluetooth Speaker Mini,2,110.6,CA
ORD-000050,2026/02/20,CUST-1050,LED Desk Lamp,1,141.62,JP
ORD-000051,2026/02/21,CUST-1051,Standing Desk Converter,1,25.8,IN
ORD-000052,2026/02/22,CUST-1052,Noise Cancelling Earbuds,1,102.4,CN
ORD-000053,2026/02/23,CUST-1053,Wireless Headphones Pro,2,111.15,JP
ORD-000054,2026/02/24,CUST-1054,Organic Cotton T-Shirt,2,72.73,US
ORD-000055,2026/02/25,CUST-1055,Bluetooth Speaker Mini,3,60.6,UK
ORD-000056,2026/02/26,CUST-1056,4K Webcam Pro,3,36.39,FR
ORD-000057,2026/02/27,CUST-1057,Monitor Arm Dual,3,39.8,UK
ORD-000058,2026/02/28,CUST-1058,Wireless Charger Pad,1,45.12,DE
ORD-000059,2026/03/01,CUST-1059,Portable Power Bank,1,51.73,AU
ORD-000060,2026/03/02,CUST-1060,Standing Desk Converter,3,65.91,CN
ORD-000061,2026/03/03,CUST-1061,Wireless Headphones Pro,3,31.53,IN
ORD-000062,2026/03/04,CUST-1062,Noise Cancelling Earbuds,2,91.95,US
ORD-000063,2026/03/05,CUST-1063,Stainless Steel Water Bottle,2,28.43,UK
ORD-000064,2026/03/06,CUST-1064,Smart Watch Series 5,2,27.76,CA
ORD-000065,2026/03/07,CUST-1065,Smart Watch Series 5,2,107.7,CA
ORD-000066,2026/03/08,CUST-1066,Organic Cotton T-Shirt,2,91.53,IN
ORD-000067,2026/03/09,CUST-1067,Stainless Steel Water Bottle,1,78.25,CA
ORD-000068,2026/03/10,CUST-1068,Mechanical Keyboard RGB,1,124.39,CN
ORD-000069,2026/03/11,CUST-1069,Ergonomic Office Chair,2,25.69,CN
ORD-000070,2026/03/12,CUST-1070,Smart Watch Series 5,1,39.26,JP
ORD-000071,2026/03/13,CUST-1071,Noise Cancelling Earbuds,3,111.06,UK
ORD-000072,2026/03/14,CUST-1072,Running Shoes Elite,2,52.71,US
ORD-000073,2026/03/15,CUST-1073,Wireless Mouse Silent,2,33.02,CN
ORD-000074,2026/03/16,CUST-1074,Smart Watch Series 5,2,22.51,US
ORD-000075,2026/03/17,CUST-1075,LED Desk Lamp,3,69.79,DE
ORD-000076,2026/03/18,CUST-1076,Standing Desk Converter,1,30.2,IN
ORD-000077,2026/03/19,CUST-1077,Wireless Charger Pad,1,96.6,FR
ORD-000078,2026/03/20,CUST-1078,Leather Wallet Classic,3,149.18,AU
ORD-000079,2026/03/21,CUST-1079,External SSD 1TB,3,106.34,AU
ORD-000080,2026/03/22,CUST-1080,Ergonomic Office Chair,1,132.08,BR
ORD-000081,2026/03/23,CUST-1081,Air Purifier Small,1,132.49,CA
ORD-000082,2026/03/24,CUST-1082,Monitor Arm Dual,1,27.82,UK
ORD-000083,2026/03/25,CUST-1083,External SSD 1TB,2,67.38,UK
ORD-000084,2026/03/26,CUST-1084,4K Webcam Pro,3,118.44,FR
ORD-000085,2026/03/27,CUST-1085,Wireless Charger Pad,2,132.95,AU
ORD-000086,2026/03/28,CUST-1086,Yoga Mat Premium,3,96.35,UK
ORD-000087,2026/03/29,CUST-1087,Wireless Charger Pad,1,56.99,CN
ORD-000088,2026/03/30,CUST-1088,Portable Power Bank,2,137.54,CN
ORD-000089,2026/03/31,CUST-1089,Leather Wallet Classic,2,119.44,UK
ORD-000090,2026/04/01,CUST-1090,Noise Cancelling Earbuds,2,96.89,US
ORD-000091,2026/04/02,CUST-1091,Yoga Mat Premium,1,146.93,BR
ORD-000092,2026/04/03,CUST-1092,Leather Wallet Classic,2,111.68,AU
ORD-000093,2026/04/04,CUST-1093,Running Shoes Elite,3,46.09,CN
ORD-000094,2026/04/05,CUST-1094,External SSD 1TB,3,129.46,CA
ORD-000095,2026/04/06,CUST-1095,Smart Watch Series 5,2,121.5,FR
ORD-000096,2026/04/07,CUST-1096,Air Purifier Small,1,28.75,CA
ORD-000097,2026/04/08,CUST-1097,Noise Cancelling Earbuds,2,63.79,DE
ORD-000098,2026/04/09,CUST-1098,Wireless Charger Pad,2,26.39,IN
ORD-000099,2026/04/10,CUST-1099,4K Webcam Pro,2,38.19,JP
ORD-000100,2026/04/11,CUST-1100,Wireless Charger Pad,3,63.81,JP
ORD-000101,2026/04/12,CUST-1101,Smart Watch Series 5,2,33.68,DE
ORD-000102,2026/04/13,CUST-1102,Noise Cancelling Earbuds,3,127.69,AU
ORD-000103,2026/04/14,CUST-1103,Wireless Headphones Pro,1,108.59,FR
ORD-000104,2026/04/15,CUST-1104,Running Shoes Elite,2,129.34,BR
ORD-000105,2026/04/16,CUST-1105,Wireless Headphones Pro,3,39.09,CN
ORD-000106,2026/04/17,CUST-1106,Mechanical Keyboard RGB,3,103.45,CA
ORD-000107,2026/04/18,CUST-1107,Yoga Mat Premium,3,122.17,CA
ORD-000108,2026/04/19,CUST-1108,Organic Cotton T-Shirt,3,132.48,UK
ORD-000109,2026/04/20,CUST-1109,Yoga Mat Premium,2,68.44,CA
ORD-000110,2026/04/21,CUST-1110,Leather Wallet Classic,1,22.32,AU
