order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,LED Desk Lamp,2,110.83,US
ORD-000002,2026/01/03,CUST-1002,Wireless Charger Pad,2,156.09,US
ORD-000003,2026/01/04,CUST-1003,Monitor Arm Dual,1,195.37,US
ORD-000004,2026/01/05,CUST-1004,4K Webcam Pro,2,132.66,US
ORD-000005,2026/01/06,CUST-1005,Portable Power Bank,1,172.76,US
ORD-000006,2026/01/07,CUST-1006,Smart Watch Series 5,1,169.26,US
ORD-000007,2026/01/08,CUST-1007,Organic Cotton T-Shirt,2,104.37,US
ORD-000008,2026/01/09,CUST-1008,Wireless Charger Pad,2,175.1,US
ORD-000009,2026/01/10,CUST-1009,Wireless Headphones Pro,2,110.81,US
ORD-000010,2026/01/11,CUST-1010,Wireless Mouse Silent,2,129.4,US
ORD-000011,2026/01/12,CUST-1011,Monitor Arm Dual,1,107.67,US
ORD-000012,2026/01/13,CUST-1012,Air Purifier Small,2,180.72,US
ORD-000013,2026/01/14,CUST-1013,Wireless Charger Pad,2,179.61,US
ORD-000014,2026/01/15,CUST-1014,Running Shoes Elite,2,148.47,US
ORD-000015,2026/01/16,CUST-1015,Bluetooth Speaker Mini,1,155.17,US
ORD-000016,2026/01/17,CUST-1016,Bluetooth Speaker Mini,1,112.67,US
ORD-000017,2026/01/18,CUST-1017,Noise Cancelling Earbuds,1,129.71,US
ORD-000018,2026/01/19,CUST-1018,LED Desk Lamp,2,139.98,US
ORD-000019,2026/01/20,CUST-1019,Organic Cotton T-Shirt,1,91.45,US
ORD-000020,2026/01/21,CUST-1020,Ergonomic Office Chair,2,156.23,US
ORD-000021,2026/01/22,CUST-1021,Monitor Arm Dual,2,105.08,US
ORD-000022,2026/01/23,CUST-1022,4K Webcam Pro,2,106.03,US
ORD-000023,2026/01/24,CUST-1023,External SSD 1TB,1,119.27,US
ORD-000024,2026/01/25,CUST-1024,Ergonomic Office Chair,1,152.36,US
ORD-000025,2026/01/26,CUST-1025,Noise Cancelling Earbuds,2,130.29,US
ORD-000026,2026/01/27,CUST-1026,Wireless Headphones Pro,2,149.5,US
ORD-000027,2026/01/28,CUST-1027,Standing Desk Converter,1,91.07,US
ORD-000028,2026/01/29,CUST-1028,External SSD 1TB,1,125.12,US
ORD-000029,2026/01/30,CUST-1029,Bluetooth Speaker Mini,1,87.65,US
ORD-000030,2026/01/31,CUST-1030,LED Desk Lamp,1,162.26,US
ORD-000031,2026/02/01,CUST-1031,Wireless Charger Pad,2,117.97,US
ORD-000032,2026/02/02,CUST-1032,Standing Desk Converter,1,99.81,US
ORD-000033,2026/02/03,CUST-1033,Mechanical Keyboard RGB,2,109.63,US
ORD-000034,2026/02/04,CUST-1034,Running Shoes Elite,2,158.79,US
ORD-000035,2026/02/05,CUST-1035,Wireless Charger Pad,1,85.19,US
ORD-000036,2026/02/06,CUST-1036,Wireless Mouse Silent,1,106.32,US
ORD-000037,2026/02/07,CUST-1037,Running Shoes Elite,2,111.78,US
ORD-000038,2026/02/08,CUST-1038,Smart Watch Series 5,1,85.68,US
ORD-000039,2026/02/09,CUST-1039,Running Shoes Elite,1,92.98,US
ORD-000040,2026/02/10,CUST-1040,Yoga Mat Premium,2,97.73,US
ORD-000041,2026/02/11,CUST-1041,Stainless Steel Water Bottle,2,85.06,US
ORD-000042,2026/02/12,CUST-1042,4K Webcam Pro,2,134.07,US
ORD-000043,2026/02/13,CUST-1043,Bluetooth Speaker Mini,2,156.91,US
ORD-000044,2026/02/14,CUST-1044,Smart Watch Series 5,2,154.52,US
ORD-000045,2026/02/15,CUST-1045,Noise Cancelling Earbuds,1,155.84,US
