order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Stainless Steel Water Bottle,3,123.01,JP
ORD-000002,2026/01/03,CUST-1002,Wireless Mouse Silent,2,21.06,JP
ORD-000003,2026/01/04,CUST-1003,Noise Cancelling Earbuds,3,97.99,US
ORD-000004,2026/01/05,CUST-1004,Ergonomic Office Chair,2,142.17,UK
ORD-000005,2026/01/06,CUST-1005,Bluetooth Speaker Mini,3,57.99,IN
ORD-000006,2026/01/07,CUST-1006,LED Desk Lamp,3,44.39,DE
ORD-000007,2026/01/08,CUST-1007,Wireless Mouse Silent,2,85.22,IN
ORD-000008,2026/01/09,CUST-1008,Portable Power Bank,1,32.71,IN
ORD-000009,2026/01/10,CUST-1009,Bluetooth Speaker Mini,1,78.57,DE
ORD-000010,2026/01/11,CUST-1010,Wireless Charger Pad,1,44.76,AU
ORD-000011,2026/01/12,CUST-1011,Monitor Arm Dual,3,43.15,BR
ORD-000012,2026/01/13,CUST-1012,Smart Watch Series 5,2,27.37,CN
ORD-000013,2026/01/14,CUST-1013,Stainless Steel Water Bottle,3,40.4,IN
ORD-000014,2026/01/15,CUST-1014,Ergonomic Office Chair,3,38.68,FR
ORD-000015,2026/01/16,CUST-1015,Wireless Headphones Pro,3,86.26,AU
ORD-000016,2026/01/17,CUST-1016,External SSD 1TB,3,66.04,CA
ORD-000017,2026/01/18,CUST-1017,4K Webcam Pro,2,85.82,DE
ORD-000018,2026/01/19,CUST-1018,Standing Desk Converter,1,117.04,BR
ORD-000019,2026/01/20,CUST-1019,Wireless Mouse Silent,2,23.28,UK
ORD-000020,2026/01/21,CUST-1020,Standing Desk Converter,3,80.61,AU
ORD-000021,2026/01/22,CUST-1021,Mechanical Keyboard RGB,2,126.85,CA
ORD-000022,2026/01/23,CUST-1022,External SSD 1TB,2,71.36,IN
ORD-000023,2026/01/24,CUST-1023,Portable Power Bank,3,108.55,BR
ORD-000024,2026/01/25,CUST-1024,Wireless Mouse Silent,1,80.59,IN
ORD-000025,2026/01/26,CUST-1025,LED Desk Lamp,1,122.93,JP
ORD-000026,2026/01/27,CUST-1026,Running Shoes Elite,1,126.49,CA
ORD-000027,2026/01/28,CUST-1027,Noise Cancelling Earbuds,3,112.31,JP
ORD-000028,2026/01/29,CUST-1028,Standing Desk Converter,1,33.93,AU
ORD-000029,2026/01/30,CUST-1029,Standing Desk Converter,1,97.28,BR
ORD-000030,2026/01/31,CUST-1030,Bluetooth Speaker Mini,1,49.6,FR
ORD-000031,2026/02/01,CUST-1031,Mechanical Keyboard RGB,1,89.57,AU
ORD-000032,2026/02/02,CUST-1032,Wireless Charger Pad,3,94.68,US
ORD-000033,2026/02/03,CUST-1033,4K Webcam Pro,1,101.43,DE
ORD-000034,2026/02/04,CUST-1034,Yoga Mat Premium,1,116.22,UK
ORD-000035,2026/02/05,CUST-1035,Yoga Mat Premium,2,120.82,AU
ORD-000036,2026/02/06,CUST-1036,Monitor Arm Dual,2,71.33,UK
ORD-000037,2026/02/07,CUST-1037,Yoga Mat Premium,3,108.95,CN
ORD-000038,2026/02/08,CUST-1038,Air Purifier Small,3,109.96,IN
ORD-000039,2026/02/09,CUST-1039,Air Purifier Small,3,133.09,CN
ORD-000040,2026/02/10,CUST-1040,LED Desk Lamp,2,48.3,BR
ORD-000041,2026/02/11,CUST-1041,Portable Power Bank,1,41.2,UK
ORD-000042,2026/02/12,CUST-1042,Wireless Charger Pad,2,136.02,BR
ORD-000043,2026/02/13,CUST-1043,Running Shoes Elite,2,53.26,DE
ORD-000044,2026/02/14,CUST-1044,Ergonomic Office Chair,3,125.23,CN
ORD-000045,2026/02/15,CUST-1045,4K Webcam Pro,2,88.16,CN
ORD-000046,2026/02/16,CUST-1046,Wireless Headphones Pro,1,36.32,UK
ORD-000047,2026/02/17,CUST-1047,Stainless Steel Water Bottle,3,68.9,CN
ORD-000048,2026/02/18,CUST-1048,Mechanical Keyboard RGB,1,38.13,IN
ORD-000049,2026/02/19,CUST-1049,Smart Watch Series 5,2,64.69,AU
ORD-000050,2026/02/20,CUST-1050,Mechanical Keyboard RGB,2,107.12,UK
ORD-000051,2026/02/21,CUST-1051,Portable Power Bank,2,127.04,FR
ORD-000052,2026/02/22,CUST-1052,Noise Cancelling Earbuds,1,105.43,UK
ORD-000053,2026/02/23,CUST-1053,Mechanical Keyboard RGB,2,41.3,FR
ORD-000054,2026/02/24,CUST-1054,Mechanical Keyboard RGB,1,137.95,DE
ORD-000055,2026/02/25,CUST-1055,Portable Power Bank,1,56.48,BR
ORD-000056,2026/02/26,CUST-1056,Organic Cotton T-Shirt,1,144.25,AU
ORD-000057,2026/02/27,CUST-1057,Wireless Mouse Silent,1,124.47,BR
ORD-000058,2026/02/28,CUST-1058,4K Webcam Pro,2,20.5,CN
ORD-000059,2026/03/01,CUST-1059,Standing Desk Converter,2,100.26,DE
ORD-000060,2026/03/02,CUST-1060,Bluetooth Speaker Mini,1,44.79,FR
ORD-000061,2026/03/03,CUST-1061,Air Purifier Small,3,117.56,IN
ORD-000062,2026/03/04,CUST-1062,Ergonomic Office Chair,3,43.86,IN
ORD-000063,2026/03/05,CUST-1063,Portable Power Bank,1,74.45,CA
ORD-000064,2026/03/06,CUST-1064,Portable Power Bank,1,74.67,UK
ORD-000065,2026/03/07,CUST-1065,Yoga Mat Premium,3,76.95,US
ORD-000066,2026/03/08,CUST-1066,Ergonomic Office Chair,1,145.26,FR
ORD-000067,2026/03/09,CUST-1067,Wireless Charger Pad,3,48.52,DE
ORD-000068,2026/03/10,CUST-1068,Smart Watch Series 5,3,149.18,BR
ORD-000069,2026/03/11,CUST-1069,Stainless Steel Water Bottle,3,109.78,DE
ORD-000070,2026/03/12,CUST-1070,Standing Desk Converter,1,105.43,CN
ORD-000071,2026/03/13,CUST-1071,External SSD 1TB,1,50.45,BR
ORD-000072,2026/03/14,CUST-1072,External SSD 1TB,2,118.65,US
ORD-000073,2026/03/15,CUST-1073,Noise Cancelling Earbuds,1,66.97,FR
ORD-000074,2026/03/16,CUST-1074,LED Desk Lamp,2,27.79,CA
ORD-000075,2026/03/17,CUST-1075,Wireless Mouse Silent,1,25.59,DE
ORD-000076,2026/03/18,CUST-1076,Mechanical Keyboard RGB,2,75.82,IN
ORD-000077,2026/03/19,CUST-1077,Organic Cotton T-Shirt,2,69.56,CA
ORD-000078,2026/03/20,CUST-1078,Yoga Mat Premium,1,114.36,DE
ORD-000079,2026/03/21,CUST-1079,Leather Wallet Classic,3,107.13,US
ORD-000080,2026/03/22,CUST-1080,Ergonomic Office Chair,2,89.43,IN
ORD-000081,2026/03/23,CUST-1081,Wireless Charger Pad,3,128.33,BR
ORD-000082,2026/03/24,CUST-1082,Yoga Mat Premium,3,49.41,AU
ORD-000083,2026/03/25,CUST-1083,Yoga Mat Premium,2,68.4,US
ORD-000084,2026/03/26,CUST-1084,LED Desk Lamp,3,108.86,BR
ORD-000085,2026/03/27,CUST-1085,Standing Desk Converter,1,35.31,CN
ORD-000086,2026/03/28,CUST-1086,4K Webcam Pro,2,106.81,CA
ORD-000087,2026/03/29,CUST-1087,Air Purifier Small,1,127.34,JP
ORD-000088,2026/03/30,CUST-1088,Ergonomic Office Chair,1,134.2,FR
ORD-000089,2026/03/31,CUST-1089,Running Shoes Elite,1,97.99,DE
ORD-000090,2026/04/01,CUST-1090,Portable Power Bank,2,96.14,UK
ORD-000091,2026/04/02,CUST-1091,Bluetooth Speaker Mini,3,145.59,CA
ORD-000092,2026/04/03,CUST-1092,Yoga Mat Premium,3,50.31,IN
ORD-000093,2026/04/04,CUST-1093,Air Purifier Small,1,141.82,FR
ORD-000094,2026/04/05,CUST-1094,Mechanical Keyboard RGB,2,39.03,BR
ORD-000095,2026/04/06,CUST-1095,Noise Cancelling Earbuds,1,74.87,AU
ORD-000096,2026/04/07,CUST-1096,Bluetooth Speaker Mini,3,45.69,UK
ORD-000097,2026/04/08,CUST-1097,Wireless Headphones Pro,1,92.6,IN
ORD-000098,2026/04/09,CUST-1098,Monitor Arm Dual,1,50.92,UK
ORD-000099,2026/04/10,CUST-1099,Monitor Arm Dual,2,101.41,CN
ORD-000100,2026/04/11,CUST-1100,Ergonomic Office Chair,1,35.61,FR
ORD-000101,2026/04/12,CUST-1101,Running Shoes Elite,1,42.89,AU
