order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,<b>Bold Product</b>,2,64.93,US
ORD-000002,2026/01/03,CUST-1002,Product<br>,1,33.01,US
ORD-000003,2026/01/04,CUST-1003,<i>Italic Item</i>,1,55.61,US
ORD-000004,2026/01/05,CUST-1004,<b>Bold Product</b>,1,24.51,US
ORD-000005,2026/01/06,CUST-1005,Item <span>Tagged</span>,2,20.1,US
ORD-000006,2026/01/07,CUST-1006,Product<br>,1,72.53,US
ORD-000007,2026/01/08,CUST-1007,<b>Bold Product</b>,1,23.76,US
ORD-000008,2026/01/09,CUST-1008,Product<br>,1,79.85,US
ORD-000009,2026/01/10,CUST-1009,<b>Bold Product</b>,1,39.18,US
ORD-000010,2026/01/11,CUST-1010,Item <span>Tagged</span>,2,44.57,US
ORD-000011,2026/01/12,CUST-1011,<p>Paragraph Product</p>,2,64.4,US
ORD-000012,2026/01/13,CUST-1012,<p>Paragraph Product</p>,1,51.34,US
ORD-000013,2026/01/14,CUST-1013,<b>Bold Product</b>,2,77.44,US
ORD-000014,2026/01/15,CUST-1014,<b>Bold Product</b>,2,41.26,US
ORD-000015,2026/01/16,CUST-1015,Product<br>,1,37.5,US
ORD-000016,2026/01/17,CUST-1016,<b>Bold Product</b>,1,31.39,US
ORD-000017,2026/01/18,CUST-1017,<i>Italic Item</i>,1,24.2,US
ORD-000018,2026/01/19,CUST-1018,<b>Bold Product</b>,2,66.58,US
ORD-000019,2026/01/20,CUST-1019,<i>Italic Item</i>,2,35.29,US
ORD-000020,2026/01/21,CUST-1020,<p>Paragraph Product</p>,2,45.96,US
ORD-000021,2026/01/22,CUST-1021,Item <span>Tagged</span>,1,56.54,US
ORD-000022,2026/01/23,CUST-1022,<i>Italic Item</i>,2,62.66,US
ORD-000023,2026/01/24,CUST-1023,Product<br>,2,33.59,US
ORD-000024,2026/01/25,CUST-1024,Item <span>Tagged</span>,2,64.63,US
ORD-000025,2026/01/26,CUST-1025,Item <span>Tagged</span>,2,26.62,US
ORD-000026,2026/01/27,CUST-1026,<i>Italic Item</i>,1,64.48,US
ORD-000027,2026/01/28,CUST-1027,<i>Italic Item</i>,1,20.55,US
ORD-000028,2026/01/29,CUST-1028,<i>Italic Item</i>,2,69.31,US
ORD-000029,2026/01/30,CUST-1029,Product<br>,2,57.55,US
ORD-000030,2026/01/31,CUST-1030,<i>Italic Item</i>,1,72.44,US
ORD-000031,2026/02/01,CUST-1031,<p>Paragraph Product</p>,2,42.45,US
ORD-000032,2026/02/02,CUST-1032,Item <span>Tagged</span>,2,76.89,US
ORD-000033,2026/02/03,CUST-1033,Item <span>Tagged</span>,2,77.25,US
ORD-000034,2026/02/04,CUST-1034,Product<br>,2,75.34,US
ORD-000035,2026/02/05,CUST-1035,Product<br>,1,25.23,US
ORD-000036,2026/02/06,CUST-1036,<p>Paragraph Product</p>,1,70.49,US
ORD-000037,2026/02/07,CUST-1037,<b>Bold Product</b>,2,65.09,US
ORD-000038,2026/02/08,CUST-1038,<i>Italic Item</i>,1,60.41,US
ORD-000039,2026/02/09,CUST-1039,<b>Bold Product</b>,2,63.37,US
ORD-000040,2026/02/10,CUST-1040,Product<br>,2,59.99,US
ORD-000041,2026/02/11,CUST-1041,<b>Bold Product</b>,1,34.14,US
ORD-000042,2026/02/12,CUST-1042,<b>Bold Product</b>,1,34.96,US
ORD-000043,2026/02/13,CUST-1043,<b>Bold Product</b>,1,70.11,US
ORD-000044,2026/02/14,CUST-1044,Item <span>Tagged</span>,2,31.22,US
