order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Air Purifier Small,2,48.11,US
ORD-000002,2026/01/03,CUST-1002,Air Purifier Small,1,20.4,US
ORD-000003,2026/01/04,CUST-1003,Air Purifier Small,2,46.75,US
ORD-000004,2026/01/05,CUST-1004,Air Purifier Small,3,80.55,US
ORD-000005,2026/01/06,CUST-1005,Wireless Mouse Silent,1,43.11,US
ORD-000006,2026/01/07,CUST-1006,Air Purifier Small,3,78.81,US
ORD-000007,2026/01/08,CUST-1007,Air Purifier Small,3,35.81,US
ORD-000008,2026/01/09,CUST-1008,Wireless Mouse Silent,3,73.02,US
ORD-000009,2026/01/10,CUST-1009,Air Purifier Small,1,30.33,US
ORD-000010,2026/01/11,CUST-1010,Air Purifier Small,2,37.13,US
ORD-000011,2026/01/12,CUST-1011,Air Purifier Small,1,43.41,US
ORD-000012,2026/01/13,CUST-1012,Air Purifier Small,2,53.13,US
ORD-000013,2026/01/14,CUST-1013,Standing Desk Converter,2,71.43,US
ORD-000014,2026/01/15,CUST-1014,Monitor Arm Dual,2,45.7,US
ORD-000015,2026/01/16,CUST-1015,Air Purifier Small,2,89.13,US
ORD-000016,2026/01/17,CUST-1016,Standing Desk Converter,3,29.42,US
ORD-000017,2026/01/18,CUST-1017,Air Purifier Small,2,61.69,US
ORD-000018,2026/01/19,CUST-1018,External SSD 1TB,3,63.3,US
ORD-000019,2026/01/20,CUST-1019,Air Purifier Small,1,82.25,US
ORD-000020,2026/01/21,CUST-1020,Air Purifier Small,2,57.16,US
ORD-000021,2026/01/22,CUST-1021,Air Purifier Small,2,41.01,US
ORD-000022,2026/01/23,CUST-1022,Air Purifier Small,2,51.42,US
ORD-000023,2026/01/24,CUST-1023,Wireless Headphones Pro,3,20.89,US
ORD-000024,2026/01/25,CUST-1024,Air Purifier Small,3,53.58,US
ORD-000025,2026/01/26,CUST-1025,Air Purifier Small,3,83.2,US
ORD-000026,2026/01/27,CUST-1026,Air Purifier Small,3,89.61,US
ORD-000027,2026/01/28,CUST-1027,Air Purifier Small,1,65.52,US
ORD-000028,2026/01/29,CUST-1028,Air Purifier Small,2,77.71,US
ORD-000029,2026/01/30,CUST-1029,Air Purifier Small,1,53.81,US
ORD-000030,2026/01/31,CUST-1030,Air Purifier Small,2,70.44,US
ORD-000031,2026/02/01,CUST-1031,Air Purifier Small,1,60.72,US
ORD-000032,2026/02/02,CUST-1032,Air Purifier Small,3,37.75,US
ORD-000033,2026/02/03,CUST-1033,Air Purifier Small,3,68.95,US
ORD-000034,2026/02/04,CUST-1034,Air Purifier Small,1,55.69,US
ORD-000035,2026/02/05,CUST-1035,Air Purifier Small,1,62.57,US
ORD-000036,2026/02/06,CUST-1036,Air Purifier Small,3,38.51,US
ORD-000037,2026/02/07,CUST-1037,Stainless Steel Water Bottle,1,32.25,US
ORD-000038,2026/02/08,CUST-1038,Portable Power Bank,3,69.64,US
ORD-000039,2026/02/09,CUST-1039,Air Purifier Small,1,65.24,US
ORD-000040,2026/02/10,CUST-1040,Air Purifier Small,1,58.33,US
ORD-000041,2026/02/11,CUST-1041,Air Purifier Small,3,62.85,US
ORD-000042,2026/02/12,CUST-1042,Air Purifier Small,2,74.11,US
ORD-000043,2026/02/13,CUST-1043,Air Purifier Small,3,27.77,US
ORD-000044,2026/02/14,CUST-1044,Air Purifier Small,2,48.49,US
ORD-000045,2026/02/15,CUST-1045,Air Purifier Small,3,78.53,US
ORD-000046,2026/02/16,CUST-1046,Air Purifier Small,3,72.55,US
ORD-000047,2026/02/17,CUST-1047,Yoga Mat Premium,1,30.91,US
ORD-000048,2026/02/18,CUST-1048,External SSD 1TB,2,45.06,US
ORD-000049,2026/02/19,CUST-1049,Stainless Steel Water Bottle,3,48.12,US
ORD-000050,2026/02/20,CUST-1050,Air Purifier Small,3,32.92,US
ORD-000051,2026/02/21,CUST-1051,Noise Cancelling Earbuds,1,24.09,US
ORD-000052,2026/02/22,CUST-1052,Air Purifier Small,3,76.28,US
ORD-000053,2026/02/23,CUST-1053,Air Purifier Small,1,39.82,US
ORD-000054,2026/02/24,CUST-1054,Air Purifier Small,1,83.42,US
ORD-000055,2026/02/25,CUST-1055,Air Purifier Small,1,30.33,US
ORD-000056,2026/02/26,CUST-1056,Air Purifier Small,3,76.25,US
ORD-000057,2026/02/27,CUST-1057,Air Purifier Small,3,87.87,US
ORD-000058,2026/02/28,CUST-1058,LED Desk Lamp,3,76.74,US
