ORD-000001,2026/01/02,CUST-1001,Wireless Mouse Silent,4,173.1,JP
ORD-000002,2026/01/03,CUST-1002,Smart Watch Series 5,1,113.7,FR
ORD-000003,2026/01/04,CUST-1003,Yoga Mat Premium,5,93.93,CA
ORD-000004,2026/01/05,CUST-1004,External SSD 1TB,5,132.24,UK
ORD-000005,2026/01/06,CUST-1005,Leather Wallet Classic,5,159.69,DE
ORD-000006,2026/01/07,CUST-1006,Air Purifier Small,2,279.26,UK
ORD-000007,2026/01/08,CUST-1007,Wireless Headphones Pro,5,71.89,US
ORD-000008,2026/01/09,CUST-1008,Yoga Mat Premium,5,159.47,BR
ORD-000009,2026/01/10,CUST-1009,Standing Desk Converter,3,218.22,US
ORD-000010,2026/01/11,CUST-1010,Monitor Arm Dual,2,197.07,CN
ORD-000011,2026/01/12,CUST-1011,External SSD 1TB,4,152.99,IN
ORD-000012,2026/01/13,CUST-1012,Air Purifier Small,4,113.68,FR
ORD-000013,2026/01/14,CUST-1013,Organic Cotton T-Shirt,4,220.19,US
ORD-000014,2026/01/15,CUST-1014,Standing Desk Converter,1,221.35,JP
ORD-000015,2026/01/16,CUST-1015,Smart Watch Series 5,5,212.99,CA
ORD-000016,2026/01/17,CUST-1016,LED Desk Lamp,3,247.92,US
ORD-000017,2026/01/18,CUST-1017,Wireless Charger Pad,4,33.25,CA
ORD-000018,2026/01/19,CUST-1018,Organic Cotton T-Shirt,2,147.12,AU
ORD-000019,2026/01/20,CUST-1019,Ergonomic Office Chair,3,41.93,UK
ORD-000020,2026/01/21,CUST-1020,Leather Wallet Classic,3,161.8,IN
ORD-000021,2026/01/22,CUST-1021,Standing Desk Converter,1,249.44,FR
ORD-000022,2026/01/23,CUST-1022,Bluetooth Speaker Mini,3,163.27,FR
ORD-000023,2026/01/24,CUST-1023,Running Shoes Elite,1,161.86,US
ORD-000024,2026/01/25,CUST-1024,Running Shoes Elite,4,66.88,CA
ORD-000025,2026/01/26,CUST-1025,External SSD 1TB,5,248.5,DE
ORD-000026,2026/01/27,CUST-1026,Air Purifier Small,1,161.8,CN
ORD-000027,2026/01/28,CUST-1027,Organic Cotton T-Shirt,1,298.09,CA
ORD-000028,2026/01/29,CUST-1028,Organic Cotton T-Shirt,3,94.8,IN
ORD-000029,2026/01/30,CUST-1029,Bluetooth Speaker Mini,3,177.61,US
ORD-000030,2026/01/31,CUST-1030,Smart Watch Series 5,4,35.87,IN
