ORD-000001,2026/06/16,CUST-1001,Wireless Headphones Pro,3,69.3,US
ORD-000002,2026/06/17,CUST-1002,Noise Cancelling Earbuds,2,96.23,US
ORD-000003,2026/06/18,CUST-1003,Wireless Mouse Silent,3,77.53,US
ORD-000004,2026/06/19,CUST-1004,Yoga Mat Premium,2,52.43,US
ORD-000005,2026/06/20,CUST-1005,Running Shoes Elite,2,24.06,US
ORD-000006,2026/06/21,CUST-1006,Ergonomic Office Chair,2,25.12,US
ORD-000007,2026/06/22,CUST-1007,Ergonomic Office Chair,3,79.19,US
ORD-000008,2026/06/23,CUST-1008,Mechanical Keyboard RGB,1,78.61,US
ORD-000009,2026/06/24,CUST-1009,Stainless Steel Water Bottle,2,34.68,US
ORD-000010,2026/06/25,CUST-1010,Stainless Steel Water Bottle,2,57.48,US
ORD-000011,2026/06/26,CUST-1011,External SSD 1TB,3,66.07,US
ORD-000012,2026/06/27,CUST-1012,LED Desk Lamp,1,89.98,US
