order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Product | pipe,1,59.48,US
ORD-000002,2026/01/03,CUST-1002,Product = equal,1,64.96,US
ORD-000003,2026/01/04,CUST-1003,Product @ at,2,29.6,US
ORD-000004,2026/01/05,CUST-1004,Item $ dollar,1,30.73,US
ORD-000005,2026/01/06,CUST-1005,Product = equal,1,42.28,US
ORD-000006,2026/01/07,CUST-1006,Product | pipe,1,24.95,US
ORD-000007,2026/01/08,CUST-1007,Product @ at,2,68.5,US
ORD-000008,2026/01/09,CUST-1008,Item # hash,1,28.01,US
ORD-000009,2026/01/10,CUST-1009,Item & amp,2,66.29,US
ORD-000010,2026/01/11,CUST-1010,Product % percent,2,46.94,US
ORD-000011,2026/01/12,CUST-1011,Product | pipe,2,39.84,US
ORD-000012,2026/01/13,CUST-1012,Item & amp,1,25.85,US
ORD-000013,2026/01/14,CUST-1013,Item # hash,2,32.88,US
ORD-000014,2026/01/15,CUST-1014,Item # hash,1,66.75,US
ORD-000015,2026/01/16,CUST-1015,Product @ at,2,40.53,US
ORD-000016,2026/01/17,CUST-1016,Product | pipe,1,51.57,US
ORD-000017,2026/01/18,CUST-1017,Product @ at,2,55.31,US
ORD-000018,2026/01/19,CUST-1018,Product % percent,1,55.24,US
ORD-000019,2026/01/20,CUST-1019,Item # hash,1,21.08,US
ORD-000020,2026/01/21,CUST-1020,Item # hash,1,27.74,US
ORD-000021,2026/01/22,CUST-1021,Product % percent,1,30.33,US
ORD-000022,2026/01/23,CUST-1022,Item & amp,1,29.49,US
ORD-000023,2026/01/24,CUST-1023,Product | pipe,1,63.32,US
ORD-000024,2026/01/25,CUST-1024,Product = equal,1,54.1,US
ORD-000025,2026/01/26,CUST-1025,Item & amp,1,47.58,US
ORD-000026,2026/01/27,CUST-1026,Product @ at,1,25.73,US
ORD-000027,2026/01/28,CUST-1027,Item $ dollar,2,26.45,US
ORD-000028,2026/01/29,CUST-1028,Product % percent,1,24.75,US
ORD-000029,2026/01/30,CUST-1029,Product @ at,2,65.88,US
ORD-000030,2026/01/31,CUST-1030,Item # hash,2,41.81,US
ORD-000031,2026/02/01,CUST-1031,Item & amp,1,34.82,US
ORD-000032,2026/02/02,CUST-1032,Item # hash,1,34.74,US
ORD-000033,2026/02/03,CUST-1033,Product @ at,2,64.49,US
ORD-000034,2026/02/04,CUST-1034,Product | pipe,1,69.73,US
ORD-000035,2026/02/05,CUST-1035,Product | pipe,1,52.18,US
ORD-000036,2026/02/06,CUST-1036,Item $ dollar,1,57.57,US
ORD-000037,2026/02/07,CUST-1037,Item & amp,2,40.01,US
ORD-000038,2026/02/08,CUST-1038,Item # hash,2,49.38,US
ORD-000039,2026/02/09,CUST-1039,Item # hash,2,66.04,US
ORD-000040,2026/02/10,CUST-1040,Product | pipe,1,31.43,US
ORD-000041,2026/02/11,CUST-1041,Item $ dollar,1,26.27,US
ORD-000042,2026/02/12,CUST-1042,Product @ at,2,25.71,US
ORD-000043,2026/02/13,CUST-1043,Item & amp,1,53.9,US
ORD-000044,2026/02/14,CUST-1044,Item & amp,2,66.86,US
