order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,4K Webcam Pro,1,22.93,US
ORD-000002,2026/01/03,CUST-1002,4K Webcam Pro,2,86.28,US
ORD-000003,2026/01/04,CUST-1003,4K Webcam Pro,3,52.0,US
ORD-000004,2026/01/05,CUST-1004,4K Webcam Pro,2,50.69,US
ORD-000005,2026/01/06,CUST-1005,4K Webcam Pro,1,87.91,US
ORD-000006,2026/01/07,CUST-1006,4K Webcam Pro,3,87.07,US
ORD-000007,2026/01/08,CUST-1007,Portable Power Bank,3,48.28,US
ORD-000008,2026/01/09,CUST-1008,4K Webcam Pro,3,56.97,US
ORD-000009,2026/01/10,CUST-1009,Standing Desk Converter,1,59.03,US
ORD-000010,2026/01/11,CUST-1010,4K Webcam Pro,1,46.54,US
ORD-000011,2026/01/12,CUST-1011,Standing Desk Converter,3,46.43,US
ORD-000012,2026/01/13,CUST-1012,4K Webcam Pro,2,57.96,US
ORD-000013,2026/01/14,CUST-1013,4K Webcam Pro,3,78.56,US
ORD-000014,2026/01/15,CUST-1014,4K Webcam Pro,1,85.68,US
ORD-000015,2026/01/16,CUST-1015,4K Webcam Pro,3,54.91,US
ORD-000016,2026/01/17,CUST-1016,4K Webcam Pro,2,89.82,US
ORD-000017,2026/01/18,CUST-1017,4K Webcam Pro,2,63.79,US
ORD-000018,2026/01/19,CUST-1018,4K Webcam Pro,1,79.32,US
ORD-000019,2026/01/20,CUST-1019,Wireless Charger Pad,3,55.97,US
ORD-000020,2026/01/21,CUST-1020,4K Webcam Pro,2,23.26,US
ORD-000021,2026/01/22,CUST-1021,4K Webcam Pro,1,60.19,US
ORD-000022,2026/01/23,CUST-1022,4K Webcam Pro,3,67.43,US
ORD-000023,2026/01/24,CUST-1023,4K Webcam Pro,3,37.41,US
ORD-000024,2026/01/25,CUST-1024,4K Webcam Pro,1,47.32,US
ORD-000025,2026/01/26,CUST-1025,Yoga Mat Premium,1,88.81,US
ORD-000026,2026/01/27,CUST-1026,4K Webcam Pro,3,83.85,US
ORD-000027,2026/01/28,CUST-1027,4K Webcam Pro,1,64.89,US
ORD-000028,2026/01/29,CUST-1028,Air Purifier Small,1,78.22,US
ORD-000029,2026/01/30,CUST-1029,Portable Power Bank,2,67.82,US
ORD-000030,2026/01/31,CUST-1030,Portable Power Bank,2,33.79,US
ORD-000031,2026/02/01,CUST-1031,4K Webcam Pro,2,48.84,US
ORD-000032,2026/02/02,CUST-1032,4K Webcam Pro,2,55.26,US
ORD-000033,2026/02/03,CUST-1033,4K Webcam Pro,2,77.29,US
ORD-000034,2026/02/04,CUST-1034,Air Purifier Small,1,39.12,US
ORD-000035,2026/02/05,CUST-1035,Standing Desk Converter,3,27.64,US
ORD-000036,2026/02/06,CUST-1036,Smart Watch Series 5,2,21.92,US
ORD-000037,2026/02/07,CUST-1037,4K Webcam Pro,1,51.5,US
ORD-000038,2026/02/08,CUST-1038,4K Webcam Pro,1,60.92,US
ORD-000039,2026/02/09,CUST-1039,4K Webcam Pro,3,23.23,US
ORD-000040,2026/02/10,CUST-1040,4K Webcam Pro,2,42.83,US
ORD-000041,2026/02/11,CUST-1041,4K Webcam Pro,2,50.48,US
ORD-000042,2026/02/12,CUST-1042,4K Webcam Pro,1,58.53,US
ORD-000043,2026/02/13,CUST-1043,Running Shoes Elite,1,63.4,US
ORD-000044,2026/02/14,CUST-1044,Air Purifier Small,3,42.34,US
ORD-000045,2026/02/15,CUST-1045,4K Webcam Pro,2,49.59,US
ORD-000046,2026/02/16,CUST-1046,4K Webcam Pro,2,39.22,US
ORD-000047,2026/02/17,CUST-1047,Portable Power Bank,3,64.15,US
ORD-000048,2026/02/18,CUST-1048,4K Webcam Pro,1,63.93,US
ORD-000049,2026/02/19,CUST-1049,4K Webcam Pro,1,67.25,US
ORD-000050,2026/02/20,CUST-1050,4K Webcam Pro,1,56.44,US
ORD-000051,2026/02/21,CUST-1051,4K Webcam Pro,2,82.82,US
ORD-000052,2026/02/22,CUST-1052,4K Webcam Pro,3,47.2,US
ORD-000053,2026/02/23,CUST-1053,4K Webcam Pro,1,36.7,US
ORD-000054,2026/02/24,CUST-1054,Running Shoes Elite,3,85.41,US
ORD-000055,2026/02/25,CUST-1055,4K Webcam Pro,1,61.79,US
ORD-000056,2026/02/26,CUST-1056,4K Webcam Pro,3,41.38,US
ORD-000057,2026/02/27,CUST-1057,4K Webcam Pro,1,29.02,US
ORD-000058,2026/02/28,CUST-1058,4K Webcam Pro,1,59.72,US
ORD-000059,2026/03/01,CUST-1059,4K Webcam Pro,3,57.96,US
ORD-000060,2026/03/02,CUST-1060,4K Webcam Pro,1,24.73,US
ORD-000061,2026/03/03,CUST-1061,4K Webcam Pro,3,50.62,US
ORD-000062,2026/03/04,CUST-1062,4K Webcam Pro,2,23.23,US
ORD-000063,2026/03/05,CUST-1063,4K Webcam Pro,1,59.55,US
ORD-000064,2026/03/06,CUST-1064,4K Webcam Pro,2,82.15,US
ORD-000065,2026/03/07,CUST-1065,4K Webcam Pro,1,79.32,US
ORD-000066,2026/03/08,CUST-1066,4K Webcam Pro,3,25.67,US
ORD-000067,2026/03/09,CUST-1067,Leather Wallet Classic,2,60.49,US
ORD-000068,2026/03/10,CUST-1068,Air Purifier Small,1,67.73,US
ORD-000069,2026/03/11,CUST-1069,4K Webcam Pro,3,75.53,US
ORD-000070,2026/03/12,CUST-1070,Mechanical Keyboard RGB,1,42.47,US
ORD-000071,2026/03/13,CUST-1071,Wireless Headphones Pro,2,34.26,US
ORD-000072,2026/03/14,CUST-1072,4K Webcam Pro,1,70.85,US
ORD-000073,2026/03/15,CUST-1073,4K Webcam Pro,3,64.21,US
ORD-000074,2026/03/16,CUST-1074,4K Webcam Pro,2,86.95,US
ORD-000075,2026/03/17,CUST-1075,4K Webcam Pro,3,23.61,US
ORD-000076,2026/03/18,CUST-1076,4K Webcam Pro,1,54.81,US
ORD-000077,2026/03/19,CUST-1077,4K Webcam Pro,2,72.74,US
ORD-000078,2026/03/20,CUST-1078,4K Webcam Pro,2,27.09,US
ORD-000079,2026/03/21,CUST-1079,4K Webcam Pro,1,32.95,US
ORD-000080,2026/03/22,CUST-1080,4K Webcam Pro,3,67.54,US
ORD-000081,2026/03/23,CUST-1081,4K Webcam Pro,1,79.79,US
ORD-000082,2026/03/24,CUST-1082,4K Webcam Pro,2,31.28,US
ORD-000083,2026/03/25,CUST-1083,4K Webcam Pro,2,81.82,US
ORD-000084,2026/03/26,CUST-1084,4K Webcam Pro,2,50.67,US
ORD-000085,2026/03/27,CUST-1085,4K Webcam Pro,2,29.84,US
ORD-000086,2026/03/28,CUST-1086,LED Desk Lamp,3,82.53,US
ORD-000087,2026/03/29,CUST-1087,Air Purifier Small,3,42.56,US
