order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Organic Cotton T-Shirt,3,54.52,US
ORD-000002,2026/01/03,CUST-1002,Organic Cotton T-Shirt,2,78.28,US
ORD-000003,2026/01/04,CUST-1003,Organic Cotton T-Shirt,1,56.37,US
ORD-000004,2026/01/05,CUST-1004,Organic Cotton T-Shirt,3,67.55,US
ORD-000005,2026/01/06,CUST-1005,Wireless Headphones Pro,2,77.07,US
ORD-000006,2026/01/07,CUST-1006,Organic Cotton T-Shirt,2,76.31,US
ORD-000007,2026/01/08,CUST-1007,Organic Cotton T-Shirt,3,62.9,US
ORD-000008,2026/01/09,CUST-1008,Organic Cotton T-Shirt,3,48.15,US
ORD-000009,2026/01/10,CUST-1009,Wireless Charger Pad,1,73.39,US
ORD-000010,2026/01/11,CUST-1010,Organic Cotton T-Shirt,2,60.65,US
ORD-000011,2026/01/12,CUST-1011,Organic Cotton T-Shirt,3,56.6,US
ORD-000012,2026/01/13,CUST-1012,Organic Cotton T-Shirt,1,38.19,US
ORD-000013,2026/01/14,CUST-1013,Standing Desk Converter,3,77.11,US
ORD-000014,2026/01/15,CUST-1014,Organic Cotton T-Shirt,1,42.63,US
ORD-000015,2026/01/16,CUST-1015,Organic Cotton T-Shirt,2,72.33,US
ORD-000016,2026/01/17,CUST-1016,Organic Cotton T-Shirt,1,39.41,US
ORD-000017,2026/01/18,CUST-1017,Organic Cotton T-Shirt,1,40.11,US
ORD-000018,2026/01/19,CUST-1018,Organic Cotton T-Shirt,1,67.72,US
ORD-000019,2026/01/20,CUST-1019,Stainless Steel Water Bottle,3,89.49,US
ORD-000020,2026/01/21,CUST-1020,Organic Cotton T-Shirt,1,24.64,US
ORD-000021,2026/01/22,CUST-1021,Organic Cotton T-Shirt,3,30.9,US
ORD-000022,2026/01/23,CUST-1022,Organic Cotton T-Shirt,1,37.44,US
ORD-000023,2026/01/24,CUST-1023,Organic Cotton T-Shirt,2,30.22,US
ORD-000024,2026/01/25,CUST-1024,Organic Cotton T-Shirt,3,56.27,US
ORD-000025,2026/01/26,CUST-1025,Organic Cotton T-Shirt,2,88.11,US
