order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Yoga Mat 🧘,1,49.88,US
ORD-000002,2026/01/03,CUST-1002,T-Shirt 👕,2,63.12,US
ORD-000003,2026/01/04,CUST-1003,Yoga Mat 🧘,1,39.96,US
ORD-000004,2026/01/05,CUST-1004,T-Shirt 👕,3,87.49,US
ORD-000005,2026/01/06,CUST-1005,Yoga Mat 🧘,2,90.63,US
ORD-000006,2026/01/07,CUST-1006,T-Shirt 👕,1,63.95,US
ORD-000007,2026/01/08,CUST-1007,T-Shirt 👕,1,41.36,US
ORD-000008,2026/01/09,CUST-1008,Sneakers 👟,2,77.23,US
ORD-000009,2026/01/10,CUST-1009,Yoga Mat 🧘,3,58.64,US
ORD-000010,2026/01/11,CUST-1010,T-Shirt 👕,1,48.33,US
ORD-000011,2026/01/12,CUST-1011,Coffee ☕,3,35.44,US
ORD-000012,2026/01/13,CUST-1012,Coffee ☕,2,97.99,US
ORD-000013,2026/01/14,CUST-1013,Yoga Mat 🧘,2,28.74,US
ORD-000014,2026/01/15,CUST-1014,Water Bottle 💧,3,88.09,US
ORD-000015,2026/01/16,CUST-1015,Yoga Mat 🧘,2,73.92,US
ORD-000016,2026/01/17,CUST-1016,Sneakers 👟,1,73.92,US
ORD-000017,2026/01/18,CUST-1017,Water Bottle 💧,1,89.55,US
ORD-000018,2026/01/19,CUST-1018,Water Bottle 💧,3,98.2,US
ORD-000019,2026/01/20,CUST-1019,Yoga Mat 🧘,2,35.31,US
ORD-000020,2026/01/21,CUST-1020,T-Shirt 👕,1,71.37,US
ORD-000021,2026/01/22,CUST-1021,Water Bottle 💧,2,80.25,US
ORD-000022,2026/01/23,CUST-1022,Water Bottle 💧,2,71.96,US
ORD-000023,2026/01/24,CUST-1023,Yoga Mat 🧘,1,38.9,US
ORD-000024,2026/01/25,CUST-1024,Yoga Mat 🧘,3,62.36,US
ORD-000025,2026/01/26,CUST-1025,Sneakers 👟,1,82.97,US
ORD-000026,2026/01/27,CUST-1026,Sneakers 👟,3,82.52,US
ORD-000027,2026/01/28,CUST-1027,T-Shirt 👕,3,97.12,US
ORD-000028,2026/01/29,CUST-1028,Sneakers 👟,2,63.29,US
ORD-000029,2026/01/30,CUST-1029,Wireless Headphones 🎧,2,72.72,US
ORD-000030,2026/01/31,CUST-1030,Coffee ☕,3,97.54,US
ORD-000031,2026/02/01,CUST-1031,Wireless Headphones 🎧,1,21.82,US
ORD-000032,2026/02/02,CUST-1032,Sneakers 👟,3,96.87,US
ORD-000033,2026/02/03,CUST-1033,Coffee ☕,1,40.68,US
ORD-000034,2026/02/04,CUST-1034,T-Shirt 👕,2,60.35,US
ORD-000035,2026/02/05,CUST-1035,T-Shirt 👕,1,24.88,US
ORD-000036,2026/02/06,CUST-1036,Water Bottle 💧,2,52.58,US
ORD-000037,2026/02/07,CUST-1037,Water Bottle 💧,1,84.19,US
ORD-000038,2026/02/08,CUST-1038,Water Bottle 💧,2,80.99,US
ORD-000039,2026/02/09,CUST-1039,Coffee ☕,1,53.92,US
ORD-000040,2026/02/10,CUST-1040,Yoga Mat 🧘,2,38.59,US
ORD-000041,2026/02/11,CUST-1041,Sneakers 👟,1,55.49,US
ORD-000042,2026/02/12,CUST-1042,Coffee ☕,1,49.08,US
ORD-000043,2026/02/13,CUST-1043,Water Bottle 💧,1,90.32,US
ORD-000044,2026/02/14,CUST-1044,Water Bottle 💧,3,90.21,US
ORD-000045,2026/02/15,CUST-1045,Yoga Mat 🧘,2,73.2,US
ORD-000046,2026/02/16,CUST-1046,Sneakers 👟,3,99.42,US
ORD-000047,2026/02/17,CUST-1047,T-Shirt 👕,1,31.69,US
ORD-000048,2026/02/18,CUST-1048,Yoga Mat 🧘,2,53.49,US
ORD-000049,2026/02/19,CUST-1049,Yoga Mat 🧘,2,33.04,US
ORD-000050,2026/02/20,CUST-1050,Water Bottle 💧,3,98.21,US
ORD-000051,2026/02/21,CUST-1051,Coffee ☕,1,64.44,US
ORD-000052,2026/02/22,CUST-1052,Water Bottle 💧,2,71.11,US
ORD-000053,2026/02/23,CUST-1053,Coffee ☕,2,92.03,US
