order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,蓝牙音箱Mini,3,82.3,CN
ORD-000002,2026/01/03,CUST-1002,跑鞋精英版,2,74.26,CN
ORD-000003,2026/01/04,CUST-1003,有机棉T恤,2,43.88,CN
ORD-000004,2026/01/05,CUST-1004,蓝牙音箱Mini,1,166.83,CN
ORD-000005,2026/01/06,CUST-1005,不锈钢保温杯,3,137.09,CN
ORD-000006,2026/01/07,CUST-1006,跑鞋精英版,3,104.2,CN
ORD-000007,2026/01/08,CUST-1007,无线耳机Pro,1,66.32,CN
ORD-000008,2026/01/09,CUST-1008,有机棉T恤,2,190.14,CN
ORD-000009,2026/01/10,CUST-1009,有机棉T恤,1,106.36,CN
ORD-000010,2026/01/11,CUST-1010,降噪耳机,3,132.13,CN
ORD-000011,2026/01/12,CUST-1011,蓝牙音箱Mini,1,124.37,CN
ORD-000012,2026/01/13,CUST-1012,智能手表5代,1,167.85,CN
ORD-000013,2026/01/14,CUST-1013,蓝牙音箱Mini,3,37.1,CN
ORD-000014,2026/01/15,CUST-1014,蓝牙音箱Mini,3,136.21,CN
ORD-000015,2026/01/16,CUST-1015,无线充电器,1,83.76,CN
ORD-000016,2026/01/17,CUST-1016,无线耳机Pro,2,36.35,CN
ORD-000017,2026/01/18,CUST-1017,有机棉T恤,2,156.48,CN
ORD-000018,2026/01/19,CUST-1018,不锈钢保温杯,2,90.08,CN
ORD-000019,2026/01/20,CUST-1019,不锈钢保温杯,2,75.05,CN
ORD-000020,2026/01/21,CUST-1020,智能手表5代,1,164.93,CN
ORD-000021,2026/01/22,CUST-1021,蓝牙音箱Mini,3,131.02,CN
ORD-000022,2026/01/23,CUST-1022,智能手表5代,3,125.38,CN
ORD-000023,2026/01/24,CUST-1023,降噪耳机,1,163.84,CN
ORD-000024,2026/01/25,CUST-1024,有机棉T恤,2,39.87,CN
ORD-000025,2026/01/26,CUST-1025,蓝牙音箱Mini,2,44.14,CN
ORD-000026,2026/01/27,CUST-1026,智能手表5代,1,151.29,CN
ORD-000027,2026/01/28,CUST-1027,蓝牙音箱Mini,3,157.7,CN
ORD-000028,2026/01/29,CUST-1028,无线耳机Pro,3,102.99,CN
ORD-000029,2026/01/30,CUST-1029,降噪耳机,3,60.63,CN
ORD-000030,2026/01/31,CUST-1030,有机棉T恤,1,60.28,CN
ORD-000031,2026/02/01,CUST-1031,有机棉T恤,2,33.44,CN
ORD-000032,2026/02/02,CUST-1032,无线充电器,1,197.58,CN
ORD-000033,2026/02/03,CUST-1033,降噪耳机,3,34.3,CN
