order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Stainless Steel Water Bottle,4,114.88,BR
ORD-000002,2026/01/03,CUST-1002,Wireless Headphones Pro,2,48.69,BR
ORD-000003,2026/01/04,CUST-1003,Mechanical Keyboard RGB,5,90.91,AU
ORD-000004,2026/01/05,CUST-1004,4K Webcam Pro,2,40.92,FR
ORD-000005,2026/01/06,CUST-1005,Stainless Steel Water Bottle,4,57.46,US
ORD-000006,2026/01/07,CUST-1006,4K Webcam Pro,5,129.8,CN
ORD-000007,2026/01/08,CUST-1007,Monitor Arm Dual,3,209.51,UK
ORD-000008,2026/01/09,CUST-1008,Air Purifier Small,5,43.3,US
ORD-000009,2026/01/10,CUST-1009,Mechanical Keyboard RGB,2,103.9,UK
ORD-000010,2026/01/11,CUST-1010,Wireless Mouse Silent,3,160.35,BR
ORD-000011,2026/01/12,CUST-1011,External SSD 1TB,4,112.83,FR
ORD-000012,2026/01/13,CUST-1012,Air Purifier Small,1,269.47,IN
ORD-000013,2026/01/14,CUST-1013,Leather Wallet Classic,3,108.61,BR
ORD-000014,2026/01/15,CUST-1014,Noise Cancelling Earbuds,5,224.85,UK
ORD-000015,2026/01/16,CUST-1015,Portable Power Bank,5,211.21,CN
ORD-000016,2026/01/17,CUST-1016,Smart Watch Series 5,4,245.33,JP
ORD-000017,2026/01/18,CUST-1017,Ergonomic Office Chair,1,48.25,BR
ORD-000018,2026/01/19,CUST-1018,Organic Cotton T-Shirt,2,193.64,CN
ORD-000019,2026/01/20,CUST-1019,Stainless Steel Water Bottle,1,205.74,US
ORD-000020,2026/01/21,CUST-1020,Smart Watch Series 5,2,156.04,BR
ORD-000021,2026/01/22,CUST-1021,LED Desk Lamp,3,89.36,IN
ORD-000022,2026/01/23,CUST-1022,LED Desk Lamp,3,215.14,CN
ORD-000023,2026/01/24,CUST-1023,Wireless Mouse Silent,1,187.33,DE
ORD-000024,2026/01/25,CUST-1024,Bluetooth Speaker Mini,2,233.69,IN
ORD-000025,2026/01/26,CUST-1025,LED Desk Lamp,3,122.04,US
ORD-000026,2026/01/27,CUST-1026,Standing Desk Converter,1,58.49,BR
ORD-000027,2026/01/28,CUST-1027,Wireless Headphones Pro,5,74.99,JP
ORD-000028,2026/01/29,CUST-1028,Standing Desk Converter,3,142.95,CN
ORD-000029,2026/01/30,CUST-1029,Smart Watch Series 5,2,187.76,UK
ORD-000030,2026/01/31,CUST-1030,Ergonomic Office Chair,5,61.44,FR
ORD-000031,2026/02/01,CUST-1031,4K Webcam Pro,1,49.41,AU
ORD-000032,2026/02/02,CUST-1032,Yoga Mat Premium,4,272.39,BR
ORD-000033,2026/02/03,CUST-1033,Bluetooth Speaker Mini,5,229.66,FR
ORD-000034,2026/02/04,CUST-1034,Bluetooth Speaker Mini,3,268.73,CN
ORD-000035,2026/02/05,CUST-1035,Standing Desk Converter,2,243.46,FR
