order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Running Shoes Elite,2,267.31,CN
ORD-000002,2026/01/03,CUST-1002,Standing Desk Converter,2,230.84,CA
ORD-000003,2026/01/04,CUST-1003,Yoga Mat Premium,4,158.35,IN
ORD-000004,2026/01/05,CUST-1004,External SSD 1TB,5,127.84,DE
ORD-000005,2026/01/06,CUST-1005,Wireless Mouse Silent,4,185.5,DE
ORD-000006,2026/01/07,CUST-1006,LED Desk Lamp,3,102.55,UK
ORD-000007,2026/01/08,CUST-1007,External SSD 1TB,1,80.75,FR
ORD-000008,2026/01/09,CUST-1008,Monitor Arm Dual,4,64.35,AU
ORD-000009,2026/01/10,CUST-1009,Wireless Mouse Silent,3,84.89,US
ORD-000010,2026/01/11,CUST-1010,Yoga Mat Premium,2,199.4,CN
ORD-000011,2026/01/12,CUST-1011,Wireless Charger Pad,5,37.39,IN
ORD-000012,2026/01/13,CUST-1012,Mechanical Keyboard RGB,4,62.53,IN
ORD-000013,2026/01/14,CUST-1013,Standing Desk Converter,4,169.38,FR
ORD-000014,2026/01/15,CUST-1014,Yoga Mat Premium,3,287.53,CA
ORD-000015,2026/01/16,CUST-1015,Mechanical Keyboard RGB,5,55.02,IN
ORD-000016,2026/01/17,CUST-1016,Organic Cotton T-Shirt,3,130.05,UK
ORD-000017,2026/01/18,CUST-1017,Leather Wallet Classic,5,127.79,BR
ORD-000018,2026/01/19,CUST-1018,Wireless Mouse Silent,3,278.78,BR
ORD-000019,2026/01/20,CUST-1019,Air Purifier Small,2,159.83,UK
ORD-000020,2026/01/21,CUST-1020,Smart Watch Series 5,1,53.13,US
ORD-000021,2026/01/22,CUST-1021,Wireless Charger Pad,3,61.62,DE
ORD-000022,2026/01/23,CUST-1022,Running Shoes Elite,1,88.42,CN
ORD-000023,2026/01/24,CUST-1023,Stainless Steel Water Bottle,1,244.03,BR
ORD-000024,2026/01/25,CUST-1024,Organic Cotton T-Shirt,2,293.69,US
ORD-000025,2026/01/26,CUST-1025,Wireless Mouse Silent,1,202.22,US
ORD-000026,2026/01/27,CUST-1026,4K Webcam Pro,3,236.69,UK
ORD-000027,2026/01/28,CUST-1027,Mechanical Keyboard RGB,1,152.02,JP
ORD-000028,2026/01/29,CUST-1028,Wireless Mouse Silent,5,41.02,CN
ORD-000029,2026/01/30,CUST-1029,Air Purifier Small,2,178.9,CN
ORD-000030,2026/01/31,CUST-1030,Bluetooth Speaker Mini,1,146.46,FR
ORD-000031,2026/02/01,CUST-1031,Organic Cotton T-Shirt,4,293.82,JP
ORD-000032,2026/02/02,CUST-1032,Air Purifier Small,1,294.99,IN
ORD-000033,2026/02/03,CUST-1033,Leather Wallet Classic,5,159.01,CN
ORD-000034,2026/02/04,CUST-1034,Monitor Arm Dual,3,39.8,CA
ORD-000035,2026/02/05,CUST-1035,LED Desk Lamp,4,298.9,DE
ORD-000036,2026/02/06,CUST-1036,Noise Cancelling Earbuds,2,188.29,DE
ORD-000037,2026/02/07,CUST-1037,Mechanical Keyboard RGB,1,167.82,IN
ORD-000038,2026/02/08,CUST-1038,Monitor Arm Dual,2,160.22,CA
ORD-000039,2026/02/09,CUST-1039,LED Desk Lamp,3,86.0,BR
ORD-000040,2026/02/10,CUST-1040,Wireless Mouse Silent,4,213.44,UK
ORD-000041,2026/02/11,CUST-1041,4K Webcam Pro,2,132.58,US
ORD-000042,2026/02/12,CUST-1042,4K Webcam Pro,2,47.53,FR
ORD-000043,2026/02/13,CUST-1043,Standing Desk Converter,5,162.63,UK
ORD-000044,2026/02/14,CUST-1044,Portable Power Bank,4,112.64,CA
ORD-000045,2026/02/15,CUST-1045,4K Webcam Pro,1,82.96,CN
ORD-000046,2026/02/16,CUST-1046,Smart Watch Series 5,2,206.2,IN
ORD-000047,2026/02/17,CUST-1047,Standing Desk Converter,2,281.61,FR
ORD-000048,2026/02/18,CUST-1048,Standing Desk Converter,2,98.26,CA
ORD-000049,2026/02/19,CUST-1049,Wireless Mouse Silent,5,189.32,CN
ORD-000050,2026/02/20,CUST-1050,Organic Cotton T-Shirt,5,195.65,CA
ORD-000051,2026/02/21,CUST-1051,Stainless Steel Water Bottle,2,210.86,JP
ORD-000052,2026/02/22,CUST-1052,4K Webcam Pro,1,191.68,DE
ORD-000053,2026/02/23,CUST-1053,Yoga Mat Premium,4,67.71,CA
ORD-000054,2026/02/24,CUST-1054,Wireless Charger Pad,5,86.25,CA
ORD-000055,2026/02/25,CUST-1055,Ergonomic Office Chair,5,265.81,CA
ORD-000056,2026/02/26,CUST-1056,Air Purifier Small,5,62.89,US
ORD-000057,2026/02/27,CUST-1057,Yoga Mat Premium,3,104.16,AU
