order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Item & amp,1,60.99,US
ORD-000002,2026/01/03,CUST-1002,Item & amp,2,68.64,US
ORD-000003,2026/01/04,CUST-1003,Product @ at,1,23.17,US
ORD-000004,2026/01/05,CUST-1004,Item $ dollar,2,47.1,US
ORD-000005,2026/01/06,CUST-1005,Product @ at,1,36.88,US
ORD-000006,2026/01/07,CUST-1006,Item # hash,1,54.11,US
ORD-000007,2026/01/08,CUST-1007,Item & amp,2,68.83,US
ORD-000008,2026/01/09,CUST-1008,Product | pipe,2,65.7,US
ORD-000009,2026/01/10,CUST-1009,Product = equal,1,43.74,US
ORD-000010,2026/01/11,CUST-1010,Product | pipe,2,49.94,US
ORD-000011,2026/01/12,CUST-1011,Product % percent,1,69.51,US
ORD-000012,2026/01/13,CUST-1012,Item # hash,2,52.17,US
ORD-000013,2026/01/14,CUST-1013,Product % percent,1,40.42,US
ORD-000014,2026/01/15,CUST-1014,Item # hash,1,22.26,US
ORD-000015,2026/01/16,CUST-1015,Item $ dollar,2,36.26,US
ORD-000016,2026/01/17,CUST-1016,Item & amp,2,59.15,US
ORD-000017,2026/01/18,CUST-1017,Product % percent,1,29.6,US
ORD-000018,2026/01/19,CUST-1018,Product % percent,1,61.26,US
ORD-000019,2026/01/20,CUST-1019,Product % percent,2,57.36,US
ORD-000020,2026/01/21,CUST-1020,Product = equal,2,64.19,US
ORD-000021,2026/01/22,CUST-1021,Item # hash,2,62.14,US
ORD-000022,2026/01/23,CUST-1022,Item & amp,1,51.37,US
ORD-000023,2026/01/24,CUST-1023,Product | pipe,2,34.98,US
ORD-000024,2026/01/25,CUST-1024,Product @ at,1,33.89,US
ORD-000025,2026/01/26,CUST-1025,Product @ at,1,41.91,US
ORD-000026,2026/01/27,CUST-1026,Item $ dollar,1,21.87,US
ORD-000027,2026/01/28,CUST-1027,Product | pipe,1,56.09,US
ORD-000028,2026/01/29,CUST-1028,Item # hash,1,56.37,US
ORD-000029,2026/01/30,CUST-1029,Product = equal,2,26.58,US
ORD-000030,2026/01/31,CUST-1030,Product % percent,1,52.14,US
ORD-000031,2026/02/01,CUST-1031,Product @ at,1,52.6,US
ORD-000032,2026/02/02,CUST-1032,Product = equal,1,66.29,US
ORD-000033,2026/02/03,CUST-1033,Product | pipe,2,58.09,US
ORD-000034,2026/02/04,CUST-1034,Item $ dollar,1,32.32,US
ORD-000035,2026/02/05,CUST-1035,Item & amp,2,40.96,US
ORD-000036,2026/02/06,CUST-1036,Product = equal,1,58.98,US
ORD-000037,2026/02/07,CUST-1037,Product @ at,1,24.67,US
ORD-000038,2026/02/08,CUST-1038,Product % percent,2,43.63,US
ORD-000039,2026/02/09,CUST-1039,Item # hash,1,32.91,US
ORD-000040,2026/02/10,CUST-1040,Product | pipe,2,27.2,US
ORD-000041,2026/02/11,CUST-1041,Item # hash,1,60.6,US
ORD-000042,2026/02/12,CUST-1042,Item & amp,2,35.7,US
ORD-000043,2026/02/13,CUST-1043,Product = equal,2,49.32,US
ORD-000044,2026/02/14,CUST-1044,Item $ dollar,1,43.69,US
ORD-000045,2026/02/15,CUST-1045,Product @ at,1,47.63,US
ORD-000046,2026/02/16,CUST-1046,Item # hash,2,55.45,US
