order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Wireless Headphones 🎧,2,30.32,US
ORD-000002,2026/01/03,CUST-1002,Sneakers 👟,3,31.52,US
ORD-000003,2026/01/04,CUST-1003,Coffee ☕,1,67.24,US
ORD-000004,2026/01/05,CUST-1004,T-Shirt 👕,1,50.75,US
ORD-000005,2026/01/06,CUST-1005,T-Shirt 👕,3,30.22,US
ORD-000006,2026/01/07,CUST-1006,Wireless Headphones 🎧,1,20.32,US
ORD-000007,2026/01/08,CUST-1007,T-Shirt 👕,1,35.3,US
ORD-000008,2026/01/09,CUST-1008,Water Bottle 💧,3,92.36,US
ORD-000009,2026/01/10,CUST-1009,Yoga Mat 🧘,1,68.55,US
ORD-000010,2026/01/11,CUST-1010,Coffee ☕,2,52.98,US
ORD-000011,2026/01/12,CUST-1011,T-Shirt 👕,1,36.96,US
ORD-000012,2026/01/13,CUST-1012,Wireless Headphones 🎧,3,44.05,US
ORD-000013,2026/01/14,CUST-1013,Coffee ☕,3,49.08,US
ORD-000014,2026/01/15,CUST-1014,Yoga Mat 🧘,2,23.67,US
ORD-000015,2026/01/16,CUST-1015,Wireless Headphones 🎧,2,30.17,US
ORD-000016,2026/01/17,CUST-1016,T-Shirt 👕,1,50.0,US
ORD-000017,2026/01/18,CUST-1017,Wireless Headphones 🎧,2,88.63,US
ORD-000018,2026/01/19,CUST-1018,Sneakers 👟,1,59.67,US
ORD-000019,2026/01/20,CUST-1019,T-Shirt 👕,2,98.49,US
ORD-000020,2026/01/21,CUST-1020,Yoga Mat 🧘,2,63.53,US
ORD-000021,2026/01/22,CUST-1021,Yoga Mat 🧘,2,74.72,US
ORD-000022,2026/01/23,CUST-1022,Sneakers 👟,1,44.06,US
ORD-000023,2026/01/24,CUST-1023,Wireless Headphones 🎧,1,93.4,US
ORD-000024,2026/01/25,CUST-1024,Yoga Mat 🧘,3,25.27,US
ORD-000025,2026/01/26,CUST-1025,Sneakers 👟,1,75.73,US
ORD-000026,2026/01/27,CUST-1026,Wireless Headphones 🎧,1,48.26,US
ORD-000027,2026/01/28,CUST-1027,T-Shirt 👕,2,81.23,US
ORD-000028,2026/01/29,CUST-1028,Yoga Mat 🧘,1,72.55,US
ORD-000029,2026/01/30,CUST-1029,Wireless Headphones 🎧,1,99.54,US
ORD-000030,2026/01/31,CUST-1030,Yoga Mat 🧘,3,48.25,US
ORD-000031,2026/02/01,CUST-1031,Wireless Headphones 🎧,3,48.39,US
ORD-000032,2026/02/02,CUST-1032,Coffee ☕,1,22.61,US
ORD-000033,2026/02/03,CUST-1033,Sneakers 👟,2,80.41,US
ORD-000034,2026/02/04,CUST-1034,Wireless Headphones 🎧,1,93.71,US
ORD-000035,2026/02/05,CUST-1035,Coffee ☕,2,60.17,US
ORD-000036,2026/02/06,CUST-1036,Sneakers 👟,2,45.64,US
ORD-000037,2026/02/07,CUST-1037,Coffee ☕,3,65.41,US
ORD-000038,2026/02/08,CUST-1038,T-Shirt 👕,2,68.83,US
ORD-000039,2026/02/09,CUST-1039,Sneakers 👟,2,30.18,US
ORD-000040,2026/02/10,CUST-1040,T-Shirt 👕,3,85.16,US
ORD-000041,2026/02/11,CUST-1041,Yoga Mat 🧘,1,70.46,US
ORD-000042,2026/02/12,CUST-1042,Coffee ☕,2,36.85,US
ORD-000043,2026/02/13,CUST-1043,T-Shirt 👕,1,98.47,US
ORD-000044,2026/02/14,CUST-1044,Yoga Mat 🧘,2,26.79,US
ORD-000045,2026/02/15,CUST-1045,Coffee ☕,3,62.01,US
ORD-000046,2026/02/16,CUST-1046,Water Bottle 💧,3,61.69,US
ORD-000047,2026/02/17,CUST-1047,Water Bottle 💧,2,60.95,US
ORD-000048,2026/02/18,CUST-1048,T-Shirt 👕,2,47.98,US
