order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Bluetooth Speaker Mini,2,54.37,US
ORD-000002,2026/01/03,CUST-1002,Stainless Steel Water Bottle,2,83.53,US
ORD-000003,2026/01/04,CUST-1003,Wireless Charger Pad,3,87.69,US
ORD-000004,2026/01/05,CUST-1004,Organic Cotton T-Shirt,1,72.34,US
ORD-000005,2026/01/06,CUST-1005,Wireless Charger Pad,3,45.7,US
ORD-000006,2026/01/07,CUST-1006,Portable Power Bank,2,88.15,US
ORD-000007,2026/01/08,CUST-1007,LED Desk Lamp,3,61.29,US
ORD-000008,2026/01/09,CUST-1008,Smart Watch Series 5,2,75.77,US
ORD-000009,2026/01/10,CUST-1009,Smart Watch Series 5,1,87.82,US
ORD-000010,2026/01/11,CUST-1010,Noise Cancelling Earbuds,3,92.56,US
ORD-000011,2026/01/12,CUST-1011,Standing Desk Converter,2,76.61,US
ORD-000012,2026/01/13,CUST-1012,Standing Desk Converter,2,99.44,US
ORD-000013,2026/01/14,CUST-1013,Air Purifier Small,3,85.91,US
ORD-000014,2026/01/15,CUST-1014,Monitor Arm Dual,1,53.75,US
ORD-000015,2026/01/16,CUST-1015,Stainless Steel Water Bottle,3,31.83,US
ORD-000016,2026/01/17,CUST-1016,Mechanical Keyboard RGB,3,93.1,US
ORD-000017,2026/01/18,CUST-1017,Air Purifier Small,2,67.68,US
ORD-000018,2026/01/19,CUST-1018,Yoga Mat Premium,1,73.1,US
ORD-000019,2026/01/20,CUST-1019,Smart Watch Series 5,1,76.13,US
ORD-000020,2026/01/21,CUST-1020,Monitor Arm Dual,1,77.97,US
ORD-000021,2026/01/22,CUST-1021,Running Shoes Elite,1,44.24,US
ORD-000022,2026/01/23,CUST-1022,Noise Cancelling Earbuds,3,82.43,US
ORD-000023,2026/01/24,CUST-1023,Wireless Mouse Silent,2,63.3,US
ORD-000024,2026/01/25,CUST-1024,Air Purifier Small,1,65.96,US
ORD-000025,2026/01/26,CUST-1025,Standing Desk Converter,3,91.29,US
ORD-000026,2026/01/27,CUST-1026,External SSD 1TB,1,74.06,US
ORD-000027,2026/01/28,CUST-1027,Bluetooth Speaker Mini,2,22.58,US
ORD-000028,2026/01/29,CUST-1028,Ergonomic Office Chair,1,83.77,US
ORD-000029,2026/01/30,CUST-1029,Yoga Mat Premium,1,89.27,US
ORD-000030,2026/01/31,CUST-1030,Monitor Arm Dual,1,34.89,US
ORD-000031,2026/02/01,CUST-1031,Smart Watch Series 5,2,65.08,US
ORD-000032,2026/02/02,CUST-1032,Mechanical Keyboard RGB,2,58.61,US
ORD-000033,2026/02/03,CUST-1033,Monitor Arm Dual,2,52.71,US
ORD-000034,2026/02/04,CUST-1034,External SSD 1TB,3,41.48,US
ORD-000035,2026/02/05,CUST-1035,Portable Power Bank,1,54.75,US
ORD-000036,2026/02/06,CUST-1036,Noise Cancelling Earbuds,2,94.56,US
ORD-000037,2026/02/07,CUST-1037,External SSD 1TB,3,62.8,US
ORD-000038,2026/02/08,CUST-1038,LED Desk Lamp,3,23.27,US
ORD-000039,2026/02/09,CUST-1039,Stainless Steel Water Bottle,2,59.46,US
ORD-000040,2026/02/10,CUST-1040,Standing Desk Converter,2,55.2,US
ORD-000041,2026/02/11,CUST-1041,4K Webcam Pro,3,86.3,US
ORD-000042,2026/02/12,CUST-1042,LED Desk Lamp,2,65.35,US
ORD-000043,2026/02/13,CUST-1043,Mechanical Keyboard RGB,3,37.76,US
ORD-000044,2026/02/14,CUST-1044,Portable Power Bank,2,41.97,US
ORD-000045,2026/02/15,CUST-1045,Wireless Headphones Pro,3,65.24,US
ORD-000046,2026/02/16,CUST-1046,LED Desk Lamp,1,49.78,US
ORD-000047,2026/02/17,CUST-1047,Monitor Arm Dual,2,63.45,US
ORD-000048,2026/02/18,CUST-1048,Portable Power Bank,1,61.05,US
ORD-000049,2026/02/19,CUST-1049,Portable Power Bank,3,52.23,US
ORD-000050,2026/02/20,CUST-1050,External SSD 1TB,2,61.44,US
ORD-000051,2026/02/21,CUST-1051,LED Desk Lamp,2,70.24,US
ORD-000052,2026/02/22,CUST-1052,Air Purifier Small,1,54.56,US
ORD-000053,2026/02/23,CUST-1053,Noise Cancelling Earbuds,3,85.78,US
ORD-000054,2026/02/24,CUST-1054,Wireless Charger Pad,2,58.57,US
ORD-000055,2026/02/25,CUST-1055,Bluetooth Speaker Mini,3,23.98,US
ORD-000056,2026/02/26,CUST-1056,Leather Wallet Classic,3,41.13,US
ORD-000057,2026/02/27,CUST-1057,Stainless Steel Water Bottle,2,93.06,US
ORD-000058,2026/02/28,CUST-1058,External SSD 1TB,3,99.11,US
ORD-000059,2026/03/01,CUST-1059,Running Shoes Elite,2,63.84,US
ORD-000060,2026/03/02,CUST-1060,Smart Watch Series 5,3,35.87,US
ORD-000061,2026/03/03,CUST-1061,Running Shoes Elite,1,38.11,US
ORD-000062,2026/03/04,CUST-1062,Wireless Mouse Silent,3,97.47,US
ORD-000063,2026/03/05,CUST-1063,Noise Cancelling Earbuds,2,46.65,US
ORD-000064,2026/03/06,CUST-1064,Running Shoes Elite,3,87.65,US
ORD-000065,2026/03/07,CUST-1065,4K Webcam Pro,2,57.04,US
ORD-000066,2026/03/08,CUST-1066,Bluetooth Speaker Mini,2,20.66,US
ORD-000067,2026/03/09,CUST-1067,Mechanical Keyboard RGB,2,96.29,US
ORD-000068,2026/03/10,CUST-1068,Yoga Mat Premium,1,99.8,US
ORD-000069,2026/03/11,CUST-1069,Air Purifier Small,2,82.36,US
ORD-000070,2026/03/12,CUST-1070,Leather Wallet Classic,2,22.06,US
ORD-000071,2026/03/13,CUST-1071,Monitor Arm Dual,1,29.4,US
ORD-000072,2026/03/14,CUST-1072,Running Shoes Elite,2,38.21,US
