order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Running Shoes Elite,1,36.07,US
ORD-000002,2026/01/03,CUST-1002,Stainless Steel Water Bottle,1,36.44,US
ORD-000003,2026/01/04,CUST-1003,Stainless Steel Water Bottle,2,32.34,US
ORD-000004,2026/01/05,CUST-1004,Mechanical Keyboard RGB,2,34.93,US
ORD-000005,2026/01/06,CUST-1005,Ergonomic Office Chair,1,55.62,US
ORD-000006,2026/01/07,CUST-1006,Air Purifier Small,2,46.28,US
ORD-000007,2026/01/08,CUST-1007,Wireless Headphones Pro,1,46.79,US
ORD-000008,2026/01/09,CUST-1008,Organic Cotton T-Shirt,2,58.8,US
ORD-000009,2026/01/10,CUST-1009,Mechanical Keyboard RGB,1,30.5,US
ORD-000010,2026/01/11,CUST-1010,Running Shoes Elite,5,131.0,US
ORD-000011,2026/01/12,CUST-1011,External SSD 1TB,8,84.48,US
ORD-000012,2026/01/13,CUST-1012,Portable Power Bank,3,192.28,US
ORD-000013,2026/01/14,CUST-1013,Mechanical Keyboard RGB,1,27.61,US
ORD-000014,2026/01/15,CUST-1014,Wireless Charger Pad,1,53.42,US
ORD-000015,2026/01/16,CUST-1015,4K Webcam Pro,2,57.95,US
ORD-000016,2026/01/17,CUST-1016,Running Shoes Elite,1,29.05,US
ORD-000017,2026/01/18,CUST-1017,4K Webcam Pro,1,47.07,US
ORD-000018,2026/01/19,CUST-1018,Portable Power Bank,1,49.99,US
ORD-000019,2026/01/20,CUST-1019,Organic Cotton T-Shirt,2,27.39,US
ORD-000020,2026/01/21,CUST-1020,Smart Watch Series 5,1,56.12,US
ORD-000021,2026/01/22,CUST-1021,Wireless Headphones Pro,1,41.98,US
ORD-000022,2026/01/23,CUST-1022,Standing Desk Converter,7,67.39,US
ORD-000023,2026/01/24,CUST-1023,Standing Desk Converter,6,97.93,US
ORD-000024,2026/01/25,CUST-1024,Smart Watch Series 5,7,181.41,US
ORD-000025,2026/01/26,CUST-1025,Organic Cotton T-Shirt,1,46.94,US
ORD-000026,2026/01/27,CUST-1026,Air Purifier Small,2,45.74,US
ORD-000027,2026/01/28,CUST-1027,Monitor Arm Dual,1,22.13,US
ORD-000028,2026/01/29,CUST-1028,Wireless Headphones Pro,1,52.03,US
ORD-000029,2026/01/30,CUST-1029,Ergonomic Office Chair,1,58.29,US
ORD-000030,2026/01/31,CUST-1030,External SSD 1TB,1,32.47,US
ORD-000031,2026/02/01,CUST-1031,LED Desk Lamp,2,40.76,US
ORD-000032,2026/02/02,CUST-1032,Stainless Steel Water Bottle,2,38.38,US
ORD-000033,2026/02/03,CUST-1033,Air Purifier Small,2,40.4,US
ORD-000034,2026/02/04,CUST-1034,External SSD 1TB,7,53.92,US
ORD-000035,2026/02/05,CUST-1035,Leather Wallet Classic,8,185.29,US
ORD-000036,2026/02/06,CUST-1036,Smart Watch Series 5,8,58.79,US
ORD-000037,2026/02/07,CUST-1037,Mechanical Keyboard RGB,1,44.69,US
ORD-000038,2026/02/08,CUST-1038,Wireless Charger Pad,2,51.65,US
ORD-000039,2026/02/09,CUST-1039,External SSD 1TB,2,33.72,US
ORD-000040,2026/02/10,CUST-1040,LED Desk Lamp,2,23.75,US
ORD-000041,2026/02/11,CUST-1041,Yoga Mat Premium,2,33.19,US
ORD-000042,2026/02/12,CUST-1042,Portable Power Bank,1,49.43,US
ORD-000043,2026/02/13,CUST-1043,Monitor Arm Dual,1,25.43,US
ORD-000044,2026/02/14,CUST-1044,Monitor Arm Dual,1,20.05,US
ORD-000045,2026/02/15,CUST-1045,Smart Watch Series 5,1,35.41,US
ORD-000046,2026/02/16,CUST-1046,Smart Watch Series 5,3,178.22,US
ORD-000047,2026/02/17,CUST-1047,4K Webcam Pro,6,108.53,US
ORD-000048,2026/02/18,CUST-1048,Portable Power Bank,4,72.43,US
ORD-000049,2026/02/19,CUST-1049,Standing Desk Converter,1,45.33,US
ORD-000050,2026/02/20,CUST-1050,Bluetooth Speaker Mini,1,49.75,US
ORD-000051,2026/02/21,CUST-1051,Leather Wallet Classic,1,48.72,US
ORD-000052,2026/02/22,CUST-1052,Air Purifier Small,1,21.15,US
ORD-000053,2026/02/23,CUST-1053,Wireless Mouse Silent,1,51.75,US
ORD-000054,2026/02/24,CUST-1054,Yoga Mat Premium,1,36.23,US
ORD-000055,2026/02/25,CUST-1055,Organic Cotton T-Shirt,2,46.53,US
ORD-000056,2026/02/26,CUST-1056,Mechanical Keyboard RGB,2,27.27,US
ORD-000057,2026/02/27,CUST-1057,Mechanical Keyboard RGB,1,43.37,US
ORD-000058,2026/02/28,CUST-1058,Wireless Mouse Silent,3,157.11,US
ORD-000059,2026/03/01,CUST-1059,Air Purifier Small,4,151.32,US
ORD-000060,2026/03/02,CUST-1060,Stainless Steel Water Bottle,8,68.16,US
