order_id,date,customer_id,product_name,quantity,price,country
ORD-000001,2026/01/02,CUST-1001,Running Shoes Elite,4,161.31,IN
ORD-000002,2026/01/03,CUST-1002,Wireless Charger Pad,4,271.68,DE
ORD-000003,2026/01/04,CUST-1003,LED Desk Lamp,2,62.38,DE
ORD-000004,2026/01/05,CUST-1004,4K Webcam Pro,3,72.6,JP
ORD-000005,2026/01/06,CUST-1005,Wireless Charger Pad,4,109.27,CA
ORD-000006,2026/01/07,CUST-1006,Stainless Steel Water Bottle,5,43.87,JP
ORD-000007,2026/01/08,CUST-1007,Wireless Headphones Pro,2,93.36,CA
ORD-000008,2026/01/09,CUST-1008,Leather Wallet Classic,5,222.8,CA
ORD-000009,2026/01/10,CUST-1009,Standing Desk Converter,3,72.73,DE
ORD-000010,2026/01/11,CUST-1010,Smart Watch Series 5,4,149.61,DE
ORD-000011,2026/01/12,CUST-1011,Bluetooth Speaker Mini,4,131.38,AU
ORD-000012,2026/01/13,CUST-1012,External SSD 1TB,4,176.57,DE
ORD-000013,2026/01/14,CUST-1013,Monitor Arm Dual,3,289.35,DE
ORD-000014,2026/01/15,CUST-1014,Noise Cancelling Earbuds,5,242.6,CA
ORD-000015,2026/01/16,CUST-1015,LED Desk Lamp,3,74.5,CA
ORD-000016,2026/01/17,CUST-1016,Wireless Mouse Silent,2,69.52,BR
ORD-000017,2026/01/18,CUST-1017,Monitor Arm Dual,5,134.3,DE
ORD-000018,2026/01/19,CUST-1018,Noise Cancelling Earbuds,5,78.58,CN
ORD-000019,2026/01/20,CUST-1019,Mechanical Keyboard RGB,1,255.16,DE
ORD-000020,2026/01/21,CUST-1020,Monitor Arm Dual,4,31.8,CA
ORD-000021,2026/01/22,CUST-1021,Wireless Charger Pad,5,235.8,JP
ORD-000022,2026/01/23,CUST-1022,Running Shoes Elite,5,83.02,BR
ORD-000023,2026/01/24,CUST-1023,Leather Wallet Classic,1,110.84,BR
ORD-000024,2026/01/25,CUST-1024,Yoga Mat Premium,1,36.49,US
